GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2022",LAC vs. SAC,W,22,20,1,2,0,1,1
"Apr 06, 2022",LAC vs. PHX,W,23,24,4,0,0,1,1
"Feb 10, 2022",LAC @ DAL,L,34,19,6,6,1,0,2
"Feb 08, 2022",LAC @ MEM,L,23,16,2,2,1,2,2
"Feb 06, 2022",LAC vs. MIL,L,24,28,1,4,0,0,1
"Feb 02, 2022",POR @ LAL,L,41,30,5,1,1,1,2
"Jan 31, 2022",POR @ OKC,L,37,17,5,2,0,1,1
"Jan 30, 2022",POR @ CHI,L,34,22,4,1,0,0,3
"Jan 28, 2022",POR @ HOU,W,39,16,5,2,3,0,1
"Jan 26, 2022",POR vs. DAL,L,36,19,9,1,1,0,1
"Jan 25, 2022",POR vs. MIN,L,26,8,5,2,1,0,2
"Jan 07, 2022",POR vs. CLE,L,37,19,5,3,1,0,0
"Jan 05, 2022",POR vs. MIA,L,40,26,3,1,0,1,1
"Jan 03, 2022",POR vs. ATL,W,36,26,6,4,4,0,2
"Dec 31, 2021",POR @ LAL,L,32,12,3,3,2,1,1
"Dec 29, 2021",POR vs. UTA,L,43,32,2,1,1,0,3
"Dec 27, 2021",POR vs. DAL,L,30,15,2,2,0,1,1
"Dec 21, 2021",POR @ NOP,L,42,16,4,2,1,1,2
"Dec 19, 2021",POR @ MEM,W,35,28,3,4,0,1,5
"Dec 17, 2021",POR vs. CHA,W,40,14,3,5,2,0,1
"Dec 15, 2021",POR vs. MEM,L,40,25,6,5,2,2,1
"Dec 14, 2021",POR vs. PHX,L,39,23,6,0,2,0,3
"Dec 12, 2021",POR vs. MIN,L,39,15,2,4,1,0,4
"Dec 08, 2021",POR @ GSW,L,43,26,0,5,1,0,4
"Dec 06, 2021",POR vs. LAC,L,44,29,5,1,0,0,3
"Dec 04, 2021",POR vs. BOS,L,28,8,0,4,0,0,1
"Dec 02, 2021",POR vs. SAS,L,29,16,4,1,0,1,2
"Nov 26, 2021",POR @ GSW,L,26,15,1,2,0,0,1
"Nov 24, 2021",POR @ SAC,L,35,22,2,0,2,0,1
"Nov 23, 2021",POR vs. DEN,W,26,15,2,3,3,1,1
"Nov 20, 2021",POR vs. PHI,W,29,17,1,2,0,0,1
"Nov 17, 2021",POR vs. CHI,W,35,18,2,2,1,0,1
"Nov 15, 2021",POR vs. TOR,W,32,12,4,1,1,0,3
"Nov 14, 2021",POR @ DEN,L,29,13,2,1,0,0,2
"Nov 12, 2021",POR @ HOU,W,25,7,3,1,1,0,1
"Nov 10, 2021",POR @ PHX,L,29,23,3,1,1,0,0
"Nov 09, 2021",POR @ LAC,L,32,23,3,3,1,0,0
"Nov 06, 2021",POR vs. LAL,W,27,13,2,2,1,2,2
"Nov 05, 2021",POR vs. IND,W,32,25,2,2,2,1,1
"Nov 03, 2021",POR @ CLE,L,32,23,3,2,3,2,1
"Nov 01, 2021",POR @ PHI,L,29,22,1,0,0,0,2
"Oct 31, 2021",POR @ CHA,L,33,14,3,5,1,0,0
"Oct 29, 2021",POR vs. LAC,W,24,12,3,1,0,1,0
"Oct 23, 2021",POR vs. PHX,W,12,16,2,0,0,0,0
"Oct 20, 2021",POR vs. SAC,L,35,14,5,0,0,0,1
"Apr 09, 2023",LAC @ PHX,W,32,29,5,0,1,0,1
"Apr 08, 2023",LAC vs. POR,W,27,23,3,5,2,0,0
"Apr 05, 2023",LAC vs. LAL,W,35,27,2,4,2,1,1
"Apr 01, 2023",LAC @ NOP,L,32,12,5,2,1,0,6
"Mar 31, 2023",LAC @ MEM,L,25,16,1,2,0,0,0
"Mar 29, 2023",LAC @ MEM,W,24,13,1,1,2,0,4
"Mar 02, 2023",LAC @ GSW,L,21,2,2,1,0,0,1
"Feb 28, 2023",LAC vs. MIN,L,25,13,1,2,0,1,1
"Feb 26, 2023",LAC @ DEN,L,17,9,0,1,1,0,1
"Feb 24, 2023",LAC vs. SAC,L,38,24,0,3,0,0,4
"Feb 14, 2023",LAC vs. GSW,W,25,24,3,1,1,0,1
"Feb 10, 2023",LAC vs. MIL,L,24,16,2,4,2,0,0
"Feb 08, 2023",LAC vs. DAL,L,28,24,7,1,3,0,3
"Feb 06, 2023",LAC @ BKN,W,30,14,3,4,1,0,2
"Feb 04, 2023",LAC @ NYK,W,35,24,7,3,1,0,2
"Feb 02, 2023",LAC @ MIL,L,31,26,2,0,0,0,0
"Jan 31, 2023",LAC @ CHI,W,33,27,4,4,2,0,0
"Jan 29, 2023",LAC @ CLE,L,16,11,2,0,1,0,1
"Jan 28, 2023",LAC @ ATL,W,24,10,4,2,0,0,4
"Jan 26, 2023",LAC vs. SAS,W,21,15,2,0,0,0,1
"Jan 24, 2023",LAC @ LAL,W,25,22,4,4,0,0,2
"Jan 22, 2023",LAC @ DAL,W,30,19,4,1,0,0,1
"Jan 20, 2023",LAC @ SAS,W,27,26,3,1,1,1,2
"Jan 18, 2023",LAC @ UTA,L,30,30,4,3,0,0,0
"Jan 17, 2023",LAC vs. PHI,L,25,16,0,0,1,0,3
"Jan 15, 2023",LAC vs. HOU,W,27,18,4,3,1,0,2
"Jan 13, 2023",LAC vs. DEN,L,29,18,4,2,1,2,0
"Jan 10, 2023",LAC vs. DAL,W,31,27,4,1,1,0,1
"Jan 08, 2023",LAC vs. ATL,L,31,14,3,4,0,0,1
"Jan 06, 2023",LAC @ MIN,L,25,21,6,0,2,0,1
"Jan 05, 2023",LAC @ DEN,L,20,13,1,2,1,0,1
"Jan 02, 2023",LAC vs. MIA,L,26,9,2,1,1,1,1
"Dec 31, 2022",LAC @ IND,L,24,9,5,2,0,2,2
"Dec 29, 2022",LAC @ BOS,L,31,19,4,2,0,1,1
"Dec 27, 2022",LAC @ TOR,W,24,22,1,3,3,0,2
"Dec 26, 2022",LAC @ DET,W,22,16,0,1,0,0,3
"Dec 23, 2022",LAC @ PHI,L,23,21,4,4,0,1,3
"Dec 21, 2022",LAC vs. CHA,W,19,14,2,2,0,1,3
