GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",MIA @ ORL,L,35,7,10,1,1,1,2
"Apr 05, 2022",MIA vs. CHA,W,15,3,7,0,1,0,0
"Apr 03, 2022",MIA @ TOR,W,12,6,2,1,0,0,0
"Apr 02, 2022",MIA @ CHI,W,3,2,1,0,0,0,0
"Mar 28, 2022",MIA vs. SAC,W,2,2,3,0,0,0,0
"Mar 26, 2022",MIA vs. BKN,L,8,0,2,1,0,0,0
"Mar 18, 2022",MIA vs. OKC,W,4,0,4,0,0,0,1
"Mar 11, 2022",MIA vs. CLE,W,1,2,2,0,0,0,0
"Mar 09, 2022",MIA vs. PHX,L,4,7,3,1,0,0,1
"Mar 07, 2022",MIA vs. HOU,W,3,0,1,0,0,0,0
"Mar 05, 2022",MIA vs. PHI,W,1,0,1,0,0,0,0
"Mar 03, 2022",MIA @ BKN,W,6,2,3,0,0,1,0
"Feb 28, 2022",MIA vs. CHI,W,5,2,3,1,0,0,1
"Feb 25, 2022",MIA @ NYK,W,13,7,2,0,0,0,0
"Feb 17, 2022",MIA @ CHA,W,14,10,6,1,0,0,1
"Feb 15, 2022",MIA vs. DAL,L,15,11,8,1,0,0,1
"Feb 10, 2022",MIA @ NOP,W,6,3,2,0,0,0,0
"Feb 07, 2022",MIA @ WAS,W,8,4,3,1,0,0,0
"Feb 05, 2022",MIA @ CHA,W,3,0,0,0,0,0,0
"Jan 26, 2022",MIA vs. NYK,W,2,2,0,0,0,0,0
"Jan 21, 2022",MIA @ ATL,L,7,4,2,0,0,0,1
"Jan 19, 2022",MIA vs. POR,W,0,0,0,0,0,0,0
"Jan 15, 2022",MIA vs. PHI,L,24,22,11,1,0,1,1
"Jan 14, 2022",MIA vs. ATL,W,28,17,11,4,0,0,1
"Jan 12, 2022",MIA @ ATL,W,29,13,10,6,0,1,3
"Jan 08, 2022",MIA @ PHX,W,34,7,16,8,2,0,2
"Jan 05, 2022",MIA @ POR,W,32,14,16,4,0,1,1
"Jan 03, 2022",MIA @ GSW,L,33,5,17,2,2,0,2
"Jan 02, 2022",MIA @ SAC,L,35,22,16,0,1,0,1
"Dec 31, 2021",MIA @ HOU,W,29,10,13,2,2,2,1
"Dec 28, 2021",MIA vs. WAS,W,32,10,14,1,3,0,0
"Dec 26, 2021",MIA vs. ORL,W,33,16,15,1,0,0,3
"Dec 23, 2021",MIA vs. DET,W,25,8,12,1,1,0,5
"Dec 21, 2021",MIA vs. IND,W,22,8,13,1,2,2,2
"Dec 19, 2021",MIA @ DET,L,18,6,12,0,0,2,2
"Dec 17, 2021",MIA @ ORL,W,21,5,12,0,0,0,1
"Dec 15, 2021",MIA @ PHI,W,12,5,3,4,1,0,1
"Dec 13, 2021",MIA @ CLE,L,20,8,7,1,0,1,0
"Dec 11, 2021",MIA vs. CHI,W,7,4,6,0,0,1,0
"Dec 08, 2021",MIA vs. MIL,W,4,2,0,0,0,0,2
"Dec 06, 2021",MIA vs. MEM,L,17,6,4,2,1,2,0
"Dec 04, 2021",MIA @ MIL,L,23,4,4,2,0,1,1
"Dec 03, 2021",MIA @ IND,W,19,12,5,0,0,2,1
"Dec 01, 2021",MIA vs. CLE,L,4,2,2,0,0,1,0
"Nov 29, 2021",MIA vs. DEN,L,2,0,2,0,0,0,0
"Nov 18, 2021",MIA vs. WAS,W,1,2,0,0,0,0,0
"Nov 17, 2021",MIA vs. NOP,W,3,0,0,1,0,0,0
"Nov 15, 2021",MIA @ OKC,W,5,0,0,0,0,1,2
"Nov 10, 2021",MIA @ LAL,L,4,3,1,0,0,0,0
"Nov 08, 2021",MIA @ DEN,L,3,0,0,0,0,0,0
"Nov 04, 2021",MIA vs. BOS,L,4,2,0,0,0,0,0
"Nov 02, 2021",MIA @ DAL,W,2,2,2,0,0,0,0
"Oct 30, 2021",MIA @ MEM,W,3,2,2,0,0,0,1
"Oct 27, 2021",MIA @ BKN,W,1,0,0,0,0,0,0
"Oct 25, 2021",MIA vs. ORL,W,2,0,0,0,0,0,0
"Oct 21, 2021",MIA vs. MIL,W,8,8,3,0,0,0,0
"Apr 09, 2023",MIA vs. ORL,W,24,14,7,0,1,1,1
"Apr 07, 2023",MIA @ WAS,L,17,10,6,2,0,0,1
"Apr 06, 2023",MIA @ PHI,W,5,4,1,0,0,0,1
"Mar 25, 2023",MIA vs. BKN,L,4,3,1,0,0,0,0
"Mar 19, 2023",MIA @ DET,W,4,2,1,0,0,0,0
"Mar 18, 2023",MIA @ CHI,L,5,0,2,0,1,0,1
"Mar 15, 2023",MIA vs. MEM,W,7,5,0,0,0,1,0
"Mar 13, 2023",MIA vs. UTA,W,11,2,4,0,0,0,0
"Mar 11, 2023",MIA @ ORL,L,7,0,1,0,0,0,0
"Apr 14, 2024",UTA @ GSW,L,30,11,18,2,0,0,2
"Apr 12, 2024",UTA @ LAC,W,13,4,10,3,0,0,1
"Apr 11, 2024",UTA vs. HOU,W,19,10,5,0,0,0,0
"Apr 09, 2024",UTA vs. DEN,L,37,20,11,2,2,0,3
"Apr 07, 2024",UTA @ GSW,L,19,8,7,0,0,0,0
"Apr 05, 2024",UTA @ LAC,L,21,12,7,1,1,0,1
"Apr 02, 2024",UTA vs. CLE,L,30,11,6,2,0,1,3
"Mar 31, 2024",UTA @ SAC,L,12,4,4,1,0,0,1
"Mar 27, 2024",UTA vs. SAS,L,3,2,0,0,0,0,0
"Mar 25, 2024",UTA vs. DAL,L,1,0,1,0,0,0,0
"Mar 21, 2024",UTA @ DAL,L,21,10,5,2,0,0,0
"Mar 20, 2024",UTA @ OKC,L,4,6,3,0,0,0,0
"Mar 16, 2024",UTA vs. MIN,L,18,14,5,0,0,3,1
"Mar 09, 2024",UTA @ DEN,L,4,0,0,0,0,0,0
