GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 28, 2025",DEN vs. UTA,W,5,7,3,0,0,0,0
"Mar 21, 2025",DEN @ POR,L,4,4,0,0,0,0,0
"Mar 19, 2025",DEN @ LAL,L,8,5,2,1,0,2,0
"Mar 12, 2025",DEN vs. MIN,L,3,2,1,0,0,0,0
"Feb 22, 2025",DEN vs. LAL,L,4,0,2,0,0,1,1
"Feb 10, 2025",DEN vs. POR,W,4,2,0,1,0,0,0
"Feb 08, 2025",DEN @ PHX,W,3,2,1,0,0,0,0
"Feb 06, 2025",DEN vs. ORL,W,5,0,2,0,0,0,0
"Feb 05, 2025",DEN vs. NOP,W,2,0,1,0,0,0,0
"Jan 25, 2025",DEN @ MIN,L,5,2,2,0,0,0,0
"Jan 21, 2025",DEN vs. PHI,W,4,4,3,1,0,0,0
"Jan 19, 2025",DEN @ ORL,W,2,1,1,0,0,0,0
"Jan 17, 2025",DEN @ MIA,W,2,0,1,1,0,0,1
"Dec 23, 2024",DEN vs. PHX,W,3,0,2,0,0,1,0
"Dec 08, 2024",DEN @ ATL,W,3,2,1,0,0,0,0
"Nov 27, 2024",DEN @ UTA,W,2,0,0,0,0,0,0
"Nov 25, 2024",DEN vs. NYK,L,2,0,0,0,0,0,0
"Nov 23, 2024",DEN @ LAL,W,3,2,0,0,0,0,0
"Nov 17, 2024",DEN @ MEM,L,1,0,0,0,0,0,0
