GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",GSW vs. UTA,W,15,2,4,3,0,0,1
"Apr 09, 2024",GSW @ LAL,W,2,0,0,0,0,0,0
"Apr 07, 2024",GSW vs. UTA,W,3,0,0,0,0,0,0
"Mar 20, 2024",GSW vs. MEM,W,3,2,0,1,0,0,0
"Mar 09, 2024",GSW vs. SAS,L,2,0,0,1,0,0,0
"Feb 25, 2024",GSW vs. DEN,L,2,0,0,0,0,0,0
"Apr 11, 2025",GSW @ POR,W,3,0,0,0,1,0,0
"Apr 08, 2025",GSW @ PHX,W,12,10,2,4,0,0,3
"Apr 06, 2025",GSW vs. HOU,L,2,0,0,2,1,0,0
"Apr 04, 2025",GSW vs. DEN,W,1,0,0,0,0,0,0
"Mar 30, 2025",GSW @ SAS,W,10,5,0,4,0,0,0
"Mar 28, 2025",GSW @ NOP,W,1,0,0,0,0,0,0
"Mar 25, 2025",GSW @ MIA,L,6,0,0,0,0,0,0
"Mar 18, 2025",GSW vs. MIL,W,6,2,2,0,1,0,0
"Mar 13, 2025",GSW vs. SAC,W,3,2,0,0,0,0,0
"Mar 08, 2025",GSW vs. DET,W,2,0,0,0,0,0,1
"Mar 06, 2025",GSW @ BKN,W,6,2,2,1,0,0,1
"Mar 03, 2025",GSW @ CHA,W,2,2,0,0,0,0,0
"Mar 01, 2025",GSW @ PHI,L,3,0,1,0,0,0,0
"Feb 25, 2025",GSW vs. CHA,W,10,6,5,0,0,0,0
"Feb 23, 2025",GSW vs. DAL,W,6,0,1,1,1,0,0
"Feb 21, 2025",GSW @ SAC,W,3,0,0,2,0,0,0
"Feb 13, 2025",GSW @ HOU,W,13,6,1,1,1,1,1
"Feb 10, 2025",GSW @ MIL,W,1,0,2,1,0,0,0
"Feb 08, 2025",GSW @ CHI,W,4,0,0,1,0,0,0
"Feb 06, 2025",GSW @ LAL,L,17,13,3,0,1,0,1
"Feb 05, 2025",GSW @ UTA,L,14,7,4,4,0,0,1
"Jan 23, 2025",GSW vs. CHI,W,3,0,1,0,0,0,0
"Jan 20, 2025",GSW vs. BOS,L,12,3,2,3,0,0,1
"Jan 10, 2025",GSW @ IND,L,20,17,3,1,0,0,3
"Jan 09, 2025",GSW @ DET,W,4,1,0,1,0,1,0
"Jan 07, 2025",GSW vs. MIA,L,3,2,1,0,0,0,1
"Jan 05, 2025",GSW vs. SAC,L,12,4,1,4,1,0,0
"Jan 04, 2025",GSW vs. MEM,W,12,2,3,2,1,1,1
"Jan 02, 2025",GSW vs. PHI,W,8,0,2,2,0,0,0
"Dec 30, 2024",GSW vs. CLE,L,5,0,3,2,1,0,0
"Dec 15, 2024",GSW vs. DAL,L,1,0,0,0,0,0,0
"Dec 11, 2024",GSW @ HOU,L,3,2,0,2,2,0,0
"Dec 06, 2024",GSW vs. MIN,L,7,2,0,2,1,0,2
"Dec 05, 2024",GSW vs. HOU,W,6,0,2,1,1,0,0
"Nov 30, 2024",GSW @ PHX,L,8,0,1,3,1,0,0
"Nov 27, 2024",GSW vs. OKC,L,15,6,4,3,0,0,2
"Nov 04, 2024",GSW @ WAS,W,1,0,0,0,0,0,0
"Oct 30, 2024",GSW vs. NOP,W,1,0,0,1,0,0,0
"Oct 29, 2024",GSW vs. NOP,W,3,4,0,0,0,0,0
