GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",GSW @ POR,W,10,8,3,2,0,0,0
"Apr 07, 2023",GSW @ SAC,W,2,0,0,0,0,0,0
"Apr 04, 2023",GSW vs. OKC,W,2,0,1,0,0,0,0
"Mar 31, 2023",GSW vs. SAS,W,1,0,0,1,0,0,0
"Mar 28, 2023",GSW vs. NOP,W,1,0,0,1,0,0,0
"Mar 18, 2023",GSW @ MEM,L,4,0,1,0,0,0,1
"Mar 15, 2023",GSW @ LAC,L,1,0,0,1,0,0,0
"Mar 13, 2023",GSW vs. PHX,W,2,0,1,0,0,0,0
"Mar 09, 2023",GSW @ MEM,L,14,5,1,0,0,2,1
"Mar 07, 2023",GSW @ OKC,L,4,0,0,0,0,0,0
"Mar 02, 2023",GSW vs. LAC,W,9,4,3,2,0,1,0
"Feb 28, 2023",GSW vs. POR,W,7,0,1,0,0,0,1
"Feb 26, 2023",GSW vs. MIN,W,13,3,3,0,0,0,0
"Feb 24, 2023",GSW vs. HOU,W,16,11,3,1,0,0,1
"Feb 23, 2023",GSW @ LAL,L,10,11,2,0,0,0,0
"Feb 14, 2023",GSW @ LAC,L,2,0,0,0,0,0,0
"Jan 20, 2023",GSW @ CLE,W,9,7,0,0,0,0,1
"Jan 15, 2023",GSW @ CHI,L,2,3,0,0,0,0,0
"Jan 07, 2023",GSW vs. ORL,L,15,9,2,0,0,0,1
"Jan 04, 2023",GSW vs. DET,L,11,5,3,1,1,0,1
"Jan 02, 2023",GSW vs. ATL,W,11,8,2,0,1,1,1
"Dec 28, 2022",GSW vs. UTA,W,13,11,3,0,1,0,1
"Dec 21, 2022",GSW @ BKN,L,23,17,3,0,0,0,0
"Dec 20, 2022",GSW @ NYK,L,8,3,1,1,0,0,0
"Dec 18, 2022",GSW @ TOR,W,2,1,1,1,0,0,1
"Dec 16, 2022",GSW @ PHI,L,1,0,0,0,0,0,0
"Dec 13, 2022",GSW @ MIL,L,8,6,0,0,0,0,0
"Nov 23, 2022",GSW vs. LAC,W,4,3,1,0,0,0,0
"Nov 21, 2022",GSW @ NOP,L,16,7,5,0,3,0,1
"Nov 04, 2022",GSW @ NOP,L,4,0,0,0,0,0,0
"Oct 30, 2022",GSW @ DET,L,1,0,0,0,0,0,0
"Apr 14, 2024",WAS @ BOS,L,33,17,7,0,2,1,1
"Apr 12, 2024",WAS vs. CHI,L,41,18,12,4,1,1,1
"Apr 09, 2024",WAS @ MIN,L,38,15,6,4,2,0,1
"Apr 07, 2024",WAS @ TOR,L,33,16,11,1,2,2,0
"Apr 05, 2024",WAS vs. POR,L,7,2,1,0,0,0,1
"Apr 03, 2024",WAS vs. LAL,L,10,3,3,0,1,0,1
"Mar 31, 2024",WAS vs. MIA,L,18,0,3,0,0,0,1
"Mar 29, 2024",WAS vs. DET,L,7,0,1,0,0,0,0
"Mar 27, 2024",WAS vs. BKN,L,4,0,0,0,0,0,0
"Mar 25, 2024",WAS @ CHI,W,26,2,6,2,2,1,1
"Mar 23, 2024",WAS vs. TOR,W,11,2,1,0,0,3,1
"Mar 21, 2024",WAS vs. SAC,W,9,6,2,0,1,1,1
"Mar 19, 2024",WAS vs. HOU,L,21,12,7,3,1,0,0
"Mar 17, 2024",WAS vs. BOS,L,32,6,7,4,1,2,2
"Mar 16, 2024",WAS @ CHI,L,16,6,1,2,1,0,0
"Mar 14, 2024",WAS @ HOU,L,12,0,7,1,1,0,1
"Mar 12, 2024",WAS @ MEM,L,11,0,3,0,1,0,0
"Mar 10, 2024",WAS @ MIA,W,11,8,2,0,0,0,1
"Feb 25, 2024",WAS vs. CLE,L,9,2,3,1,0,0,0
"Feb 23, 2024",WAS @ OKC,L,16,3,2,0,1,1,0
"Feb 22, 2024",WAS @ DEN,L,4,0,2,0,0,0,0
"Feb 04, 2024",WAS vs. PHX,L,7,3,1,1,0,0,0
"Jan 31, 2024",WAS vs. LAC,L,12,3,6,0,0,0,1
"Jan 25, 2024",WAS vs. UTA,L,1,0,0,0,0,0,0
"Jan 24, 2024",WAS vs. MIN,L,1,3,1,0,0,0,0
"Jan 20, 2024",WAS vs. SAS,L,12,7,2,0,0,1,1
"Jan 18, 2024",WAS @ NYK,L,6,0,3,2,0,0,1
"Jan 15, 2024",WAS vs. DET,L,13,9,3,1,1,0,0
"Jan 13, 2024",WAS @ ATL,W,18,8,9,0,0,1,2
"Dec 27, 2023",WAS vs. TOR,L,6,0,0,0,0,0,0
"Dec 22, 2023",WAS @ GSW,L,7,0,1,0,0,0,0
"Dec 15, 2023",WAS vs. IND,W,3,2,1,0,0,0,1
"Dec 13, 2023",WAS vs. NOP,L,4,5,0,1,0,0,0
"Dec 11, 2023",WAS @ PHI,L,17,10,4,1,0,0,0
"Dec 08, 2023",WAS @ BKN,L,4,0,4,0,0,1,0
"Nov 15, 2023",WAS vs. DAL,L,2,0,1,0,0,0,0
"Oct 30, 2023",WAS vs. BOS,L,6,0,0,1,0,0,0
"Oct 25, 2023",WAS @ IND,L,3,0,0,0,0,0,0
"Apr 04, 2025",LAC vs. DAL,W,3,6,2,0,0,0,0
"Apr 02, 2025",LAC vs. NOP,W,3,0,1,1,0,0,0
"Jan 30, 2025",WAS vs. LAL,L,7,3,2,0,0,0,0
"Jan 29, 2025",WAS vs. TOR,L,6,0,3,1,1,0,2
"Jan 27, 2025",WAS @ DAL,L,9,3,2,0,0,0,0
"Jan 13, 2025",WAS vs. MIN,L,1,0,1,0,0,0,0
"Jan 12, 2025",WAS vs. OKC,L,5,3,0,0,0,0,0
"Jan 10, 2025",WAS @ CHI,L,6,3,1,0,0,0,0
"Jan 07, 2025",WAS vs. HOU,L,4,5,1,0,0,0,1
"Jan 03, 2025",WAS @ NOP,L,1,3,0,0,0,0,0
"Dec 30, 2024",WAS vs. NYK,L,2,0,0,0,0,0,0
"Dec 23, 2024",WAS @ OKC,L,2,2,0,0,0,0,0
"Dec 15, 2024",WAS vs. BOS,L,1,0,0,0,0,0,0
"Nov 27, 2024",WAS vs. LAC,L,8,3,4,0,0,0,1
"Nov 26, 2024",WAS vs. CHI,L,3,3,0,0,0,1,0
"Nov 18, 2024",WAS @ NYK,L,5,0,0,0,0,0,0
"Nov 17, 2024",WAS vs. DET,L,4,1,1,0,0,0,0
"Nov 11, 2024",WAS @ HOU,L,2,0,0,0,0,0,0
"Nov 10, 2024",WAS @ ORL,L,11,1,3,0,1,0,1
"Nov 08, 2024",WAS @ MEM,L,5,0,0,0,0,0,0
"Nov 02, 2024",WAS vs. MIA,L,3,6,0,0,1,0,0
"Oct 30, 2024",WAS vs. ATL,W,3,2,0,0,0,0,0
"Oct 26, 2024",WAS vs. CLE,L,5,2,2,0,0,1,0
"Oct 24, 2024",WAS vs. BOS,L,8,7,2,1,0,0,0
