GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,15,12,4,4,1,0,0
"Apr 07, 2022",BOS @ MIL,L,19,12,4,2,2,1,1
"Apr 06, 2022",BOS @ CHI,W,18,9,0,1,0,0,1
"Apr 03, 2022",BOS vs. WAS,W,18,14,1,3,0,0,1
"Apr 01, 2022",BOS vs. IND,W,13,6,4,2,1,0,0
"Mar 30, 2022",BOS vs. MIA,L,20,3,3,0,1,0,0
"Mar 28, 2022",BOS @ TOR,L,30,10,8,5,1,0,1
"Mar 27, 2022",BOS vs. MIN,W,21,11,2,5,0,1,0
"Mar 23, 2022",BOS vs. UTA,W,18,11,3,1,2,0,0
"Mar 21, 2022",BOS @ OKC,W,25,18,3,2,1,0,2
"Mar 20, 2022",BOS @ DEN,W,19,17,2,3,1,0,0
"Mar 18, 2022",BOS @ SAC,W,21,14,5,8,1,0,0
"Mar 16, 2022",BOS @ GSW,W,18,10,1,2,0,0,0
"Mar 13, 2022",BOS vs. DAL,L,17,8,1,0,0,0,1
"Mar 11, 2022",BOS vs. DET,W,13,4,2,0,1,0,0
"Mar 09, 2022",BOS @ CHA,W,9,3,0,0,0,0,0
"Mar 06, 2022",BOS vs. BKN,W,13,3,3,1,2,0,0
"Mar 03, 2022",BOS vs. MEM,W,13,5,2,2,0,0,0
"Mar 01, 2022",BOS vs. ATL,W,19,3,0,3,1,0,1
"Feb 27, 2022",BOS @ IND,L,17,14,6,2,0,0,0
"Feb 26, 2022",BOS @ DET,W,27,19,2,6,0,0,1
"Feb 24, 2022",BOS @ BKN,W,14,6,1,2,1,0,0
"Feb 16, 2022",BOS vs. DET,L,14,4,2,1,0,0,1
"Feb 15, 2022",BOS @ PHI,W,19,5,2,7,0,0,2
"Feb 13, 2022",BOS vs. ATL,W,11,0,1,1,0,0,0
"Feb 11, 2022",BOS vs. DEN,W,11,3,2,1,1,0,0
"Feb 08, 2022",BOS @ BKN,W,14,9,0,3,0,0,1
"Feb 06, 2022",BOS @ ORL,W,5,7,0,1,0,0,0
"Feb 04, 2022",BOS @ DET,W,4,6,1,0,0,0,1
"Jan 31, 2022",BOS vs. MIA,W,5,0,1,2,0,0,1
"Jan 29, 2022",BOS @ NOP,W,2,0,0,0,0,0,0
"Jan 28, 2022",BOS @ ATL,L,3,2,0,0,0,0,0
"Jan 25, 2022",BOS vs. SAC,W,9,9,1,3,1,0,0
"Jan 23, 2022",BOS @ WAS,W,4,0,1,1,0,0,1
"Jan 21, 2022",BOS vs. POR,L,12,6,1,0,1,0,0
"Jan 19, 2022",BOS vs. CHA,L,11,0,1,4,0,0,0
"Jan 17, 2022",BOS vs. NOP,W,11,0,1,0,0,0,0
"Jan 15, 2022",BOS vs. CHI,W,12,6,1,1,0,0,1
"Jan 14, 2022",BOS @ PHI,L,24,17,3,4,1,0,1
"Jan 12, 2022",BOS @ IND,W,11,3,1,1,0,0,0
"Jan 02, 2022",BOS vs. ORL,W,13,3,3,0,0,0,2
"Dec 31, 2021",BOS vs. PHX,W,13,11,2,1,0,0,1
"Dec 29, 2021",BOS vs. LAC,L,34,4,3,3,0,0,1
"Dec 27, 2021",BOS @ MIN,L,45,24,8,6,1,0,2
"Dec 25, 2021",BOS @ MIL,L,30,16,5,5,1,1,0
"Dec 22, 2021",BOS vs. CLE,W,21,7,5,1,0,0,1
"Dec 20, 2021",BOS vs. PHI,L,22,14,3,2,2,0,1
"Dec 18, 2021",BOS vs. NYK,W,28,16,3,3,0,1,2
"Dec 17, 2021",BOS vs. GSW,L,13,0,1,3,0,0,0
"Dec 13, 2021",BOS vs. MIL,W,2,0,0,0,0,0,0
"Dec 10, 2021",BOS @ PHX,L,12,3,2,3,0,0,0
"Dec 07, 2021",BOS @ LAL,L,12,6,1,5,0,0,1
"Dec 04, 2021",BOS @ POR,W,18,19,2,3,1,0,0
"Nov 28, 2021",BOS @ TOR,W,10,0,0,0,0,0,1
"Nov 24, 2021",BOS vs. BKN,L,4,3,0,2,0,0,0
"Nov 22, 2021",BOS vs. HOU,W,6,0,0,1,0,0,2
"Nov 20, 2021",BOS vs. OKC,W,1,0,0,0,0,0,0
"Nov 19, 2021",BOS vs. LAL,W,9,5,0,1,0,0,1
"Nov 17, 2021",BOS @ ATL,L,2,0,0,0,0,0,1
"Nov 15, 2021",BOS @ CLE,W,5,0,0,2,0,0,0
"Nov 13, 2021",BOS @ CLE,L,15,0,2,2,0,0,2
"Nov 10, 2021",BOS vs. TOR,W,1,0,0,0,0,0,0
"Nov 06, 2021",BOS @ DAL,L,11,2,0,0,0,0,0
"Nov 04, 2021",BOS @ MIA,W,3,3,0,0,0,0,1
"Nov 03, 2021",BOS @ ORL,W,10,0,2,1,0,1,0
"Nov 01, 2021",BOS vs. CHI,L,7,0,1,1,0,0,1
"Oct 30, 2021",BOS @ WAS,L,18,5,3,1,0,0,1
"Oct 25, 2021",BOS @ CHA,W,14,3,2,2,0,0,1
"Oct 24, 2021",BOS @ HOU,W,16,6,3,3,0,0,1
"Oct 22, 2021",BOS vs. TOR,L,16,3,2,2,0,0,0
"Oct 20, 2021",BOS @ NYK,L,11,0,5,2,0,1,0
"Apr 09, 2023",BOS vs. ATL,W,46,30,14,11,0,0,7
"Apr 07, 2023",BOS vs. TOR,W,24,22,4,5,0,0,1
"Mar 28, 2023",BOS @ WAS,L,9,5,2,1,0,0,1
"Mar 06, 2023",BOS @ CLE,L,16,7,4,1,0,0,1
"Mar 03, 2023",BOS vs. BKN,L,9,0,1,1,0,0,0
"Feb 27, 2023",BOS @ NYK,L,2,0,1,0,0,0,0
"Feb 14, 2023",BOS @ MIL,L,14,6,0,0,1,0,0
"Feb 12, 2023",BOS vs. MEM,W,18,12,1,3,0,0,0
"Feb 10, 2023",BOS vs. CHA,W,21,7,2,2,1,0,2
"Feb 08, 2023",BOS vs. PHI,W,5,0,1,0,0,0,0
"Feb 06, 2023",BOS @ DET,W,11,3,0,0,0,0,1
"Feb 03, 2023",BOS vs. PHX,L,12,3,0,1,0,0,0
"Feb 01, 2023",BOS vs. BKN,W,16,5,2,2,0,0,1
"Jan 28, 2023",BOS vs. LAL,W,6,0,0,0,0,0,0
"Jan 26, 2023",BOS vs. NYK,L,13,7,3,0,0,0,1
"Jan 24, 2023",BOS @ MIA,L,42,10,7,4,1,0,2
"Jan 23, 2023",BOS @ ORL,L,31,5,3,4,0,0,1
"Jan 21, 2023",BOS @ TOR,W,26,12,2,2,1,0,1
"Jan 16, 2023",BOS @ CHA,W,13,3,0,0,0,0,0
"Jan 14, 2023",BOS @ CHA,W,27,9,3,2,1,0,1
"Jan 12, 2023",BOS @ BKN,W,15,9,3,0,1,0,0
"Jan 11, 2023",BOS vs. NOP,W,18,3,6,0,1,0,2
"Jan 09, 2023",BOS vs. CHI,W,4,0,1,0,0,0,0
"Jan 05, 2023",BOS @ DAL,W,3,2,0,0,1,0,1
"Jan 03, 2023",BOS @ OKC,L,15,17,0,0,0,0,1
"Jan 01, 2023",BOS @ DEN,L,2,1,0,0,0,0,1
"Dec 29, 2022",BOS vs. LAC,W,6,0,0,0,0,0,0
"Dec 25, 2022",BOS vs. MIL,W,3,4,0,1,0,0,1
"Dec 23, 2022",BOS vs. MIN,W,1,0,0,0,0,0,0
"Dec 21, 2022",BOS vs. IND,L,17,3,2,4,0,0,0
"Dec 18, 2022",BOS vs. ORL,L,4,0,1,0,0,0,0
"Dec 12, 2022",BOS @ LAC,L,7,0,0,2,0,0,1
"Dec 10, 2022",BOS @ GSW,L,7,3,1,1,0,0,0
"Dec 07, 2022",BOS @ PHX,W,10,7,2,1,1,0,1
"Dec 04, 2022",BOS @ BKN,W,16,6,2,1,0,0,1
"Nov 28, 2022",BOS vs. CHA,W,17,6,0,2,0,1,1
"Nov 27, 2022",BOS vs. WAS,W,17,3,1,1,0,0,0
"Nov 25, 2022",BOS vs. SAC,W,15,9,1,0,0,0,0
"Nov 23, 2022",BOS vs. DAL,W,2,0,0,0,0,0,0
"Nov 18, 2022",BOS @ NOP,W,5,0,0,0,1,0,0
"Nov 16, 2022",BOS @ ATL,W,24,14,3,4,1,0,1
"Nov 14, 2022",BOS vs. OKC,W,14,10,4,1,2,0,1
"Nov 12, 2022",BOS @ DET,W,15,5,2,2,0,0,2
"Nov 11, 2022",BOS vs. DEN,W,16,11,5,0,1,0,2
"Nov 09, 2022",BOS vs. DET,W,13,4,3,1,0,0,2
"Oct 30, 2022",BOS vs. WAS,W,7,1,0,2,0,0,2
"Oct 24, 2022",BOS @ CHI,L,5,3,1,2,0,0,0
"Oct 22, 2022",BOS @ ORL,W,4,3,0,0,0,0,0
"Apr 14, 2024",BOS vs. WAS,W,44,38,9,12,0,0,2
"Apr 12, 2024",BOS vs. CHA,W,31,31,3,11,1,0,2
"Apr 11, 2024",BOS vs. NYK,L,21,16,4,6,0,0,0
"Apr 09, 2024",BOS @ MIL,L,24,6,2,3,1,0,1
"Apr 07, 2024",BOS vs. POR,W,26,20,3,8,1,0,2
"Apr 05, 2024",BOS vs. SAC,W,33,21,1,3,2,0,1
"Apr 03, 2024",BOS vs. OKC,W,28,11,4,8,2,0,0
"Apr 01, 2024",BOS @ CHA,W,28,7,3,5,0,0,1
