GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2025",MIA vs. PHI,W,26,12,3,2,3,0,0
"Apr 05, 2025",MIA vs. MIL,L,39,3,4,3,0,0,2
"Apr 03, 2025",MIA vs. MEM,L,23,3,2,3,4,1,1
"Apr 02, 2025",MIA @ BOS,W,30,16,4,4,1,0,1
"Mar 31, 2025",MIA @ WAS,W,30,15,7,5,1,0,2
"Mar 29, 2025",MIA @ PHI,W,30,14,6,4,4,2,1
"Mar 27, 2025",MIA vs. ATL,W,7,3,0,1,1,0,0
"Mar 25, 2025",MIA vs. GSW,W,4,5,0,0,0,0,1
"Mar 23, 2025",MIA vs. CHA,W,0,0,0,0,0,0,0
"Mar 19, 2025",MIA vs. DET,L,4,0,0,1,0,0,0
"Mar 17, 2025",MIA @ NYK,L,14,4,3,0,0,0,1
"Mar 15, 2025",MIA @ MEM,L,14,4,2,2,0,0,0
"Mar 14, 2025",MIA vs. BOS,L,16,2,0,0,0,0,1
"Mar 12, 2025",MIA vs. LAC,L,28,10,0,1,3,0,0
"Mar 10, 2025",MIA vs. CHA,L,4,0,0,1,0,0,0
"Mar 07, 2025",MIA vs. MIN,L,18,5,4,1,0,0,0
"Mar 05, 2025",MIA @ CLE,L,12,3,0,1,0,0,0
"Mar 03, 2025",MIA vs. WAS,W,28,16,4,5,0,0,1
"Feb 26, 2025",MIA vs. ATL,W,1,0,0,0,0,0,0
"Feb 13, 2025",MIA @ DAL,L,10,3,0,0,0,0,0
"Feb 12, 2025",MIA @ OKC,L,7,3,3,0,0,0,1
"Feb 10, 2025",MIA vs. BOS,L,15,3,1,0,0,0,0
"Feb 07, 2025",MIA @ BKN,L,11,0,2,1,0,0,0
"Feb 05, 2025",MIA @ PHI,W,22,5,2,1,1,2,0
"Feb 01, 2025",MIA @ SAS,W,1,0,0,0,0,0,0
"Jan 29, 2025",MIA vs. CLE,L,14,0,2,2,1,0,0
"Jan 27, 2025",MIA vs. ORL,W,19,5,0,0,0,0,0
"Jan 25, 2025",MIA @ BKN,W,5,0,0,0,0,0,0
"Jan 23, 2025",MIA @ MIL,L,14,4,5,0,0,0,1
"Jan 21, 2025",MIA vs. POR,L,15,11,0,0,1,0,0
"Jan 19, 2025",MIA vs. SAS,W,2,2,0,0,0,0,0
"Jan 17, 2025",MIA vs. DEN,L,2,0,0,0,0,0,0
"Jan 11, 2025",MIA @ POR,W,10,2,2,0,1,1,0
"Jan 07, 2025",MIA @ GSW,W,1,0,0,0,0,0,0
"Jan 06, 2025",MIA @ SAC,L,5,0,1,0,1,0,1
"Jan 04, 2025",MIA vs. UTA,L,10,1,2,2,0,1,0
"Jan 02, 2025",MIA vs. IND,L,2,0,0,0,0,0,0
"Dec 28, 2024",MIA @ ATL,L,4,0,0,0,0,0,0
"Dec 23, 2024",MIA vs. BKN,W,17,2,1,1,1,0,1
"Dec 21, 2024",MIA @ ORL,L,24,5,2,2,0,0,1
"Dec 04, 2024",MIA vs. LAL,W,19,5,4,6,1,0,1
"Dec 02, 2024",MIA @ BOS,L,12,5,5,1,0,0,0
"Dec 01, 2024",MIA @ TOR,L,18,8,1,0,2,0,1
"Nov 29, 2024",MIA vs. TOR,W,18,5,1,0,0,0,0
"Nov 27, 2024",MIA @ CHA,W,15,6,2,0,0,0,2
"Nov 26, 2024",MIA vs. MIL,L,22,8,4,3,1,0,0
"Nov 24, 2024",MIA vs. DAL,W,36,14,5,1,1,0,0
"Nov 18, 2024",MIA vs. PHI,W,8,4,0,0,0,0,0
"Nov 12, 2024",MIA @ DET,L,13,2,3,1,0,0,0
"Nov 10, 2024",MIA @ MIN,W,3,0,0,1,1,0,0
"Nov 08, 2024",MIA @ DEN,L,14,5,2,2,0,0,1
"Nov 06, 2024",MIA @ PHX,L,21,6,0,3,0,0,1
"Nov 04, 2024",MIA vs. SAC,L,25,13,2,2,1,0,0
"Nov 02, 2024",MIA @ WAS,W,14,7,1,2,1,0,2
"Oct 23, 2024",MIA vs. ORL,L,6,2,0,0,1,0,0
