GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",GSW vs. LAC,L,10,0,3,0,0,0,0
"Apr 11, 2025",GSW @ POR,W,16,10,1,1,0,1,0
"Apr 06, 2025",GSW vs. HOU,L,7,2,0,0,0,0,0
"Apr 04, 2025",GSW vs. DEN,W,13,3,4,0,0,0,0
"Apr 03, 2025",GSW @ LAL,W,15,4,3,1,0,0,1
"Apr 01, 2025",GSW @ MEM,W,20,9,1,1,0,0,0
"Mar 30, 2025",GSW @ SAS,W,18,7,2,1,1,0,1
"Mar 28, 2025",GSW @ NOP,W,18,15,6,2,0,0,1
"Mar 25, 2025",GSW @ MIA,L,14,3,1,3,0,0,4
"Mar 22, 2025",GSW @ ATL,L,28,11,4,1,0,1,0
"Mar 20, 2025",GSW vs. TOR,W,22,18,2,0,1,1,0
"Mar 18, 2025",GSW vs. MIL,W,23,14,4,3,1,0,3
"Mar 17, 2025",GSW vs. DEN,L,8,4,1,0,1,0,0
"Mar 15, 2025",GSW vs. NYK,W,19,5,6,2,0,1,0
"Mar 13, 2025",GSW vs. SAC,W,21,10,4,0,1,1,2
"Mar 10, 2025",GSW vs. POR,W,25,11,7,2,1,3,1
"Mar 08, 2025",GSW vs. DET,W,20,6,2,1,1,0,0
"Mar 06, 2025",GSW @ BKN,W,21,10,7,2,0,2,0
"Mar 04, 2025",GSW @ NYK,W,15,3,3,0,0,1,3
"Mar 03, 2025",GSW @ CHA,W,17,6,3,2,1,1,1
"Mar 01, 2025",GSW @ PHI,L,25,16,9,1,1,1,2
"Feb 27, 2025",GSW @ ORL,W,24,18,5,1,1,1,0
"Feb 25, 2025",GSW vs. CHA,W,18,8,3,2,2,0,2
"Feb 23, 2025",GSW vs. DAL,W,18,10,6,3,1,0,1
"Feb 21, 2025",GSW @ SAC,W,14,9,5,0,1,0,3
"Feb 13, 2025",GSW @ HOU,W,7,0,1,1,0,0,0
"Feb 12, 2025",GSW @ DAL,L,12,5,4,0,0,0,0
"Feb 10, 2025",GSW @ MIL,W,15,13,4,1,0,0,0
"Feb 08, 2025",GSW @ CHI,W,20,18,3,2,0,1,1
"Feb 06, 2025",GSW @ LAL,L,11,6,2,2,0,0,0
"Feb 05, 2025",GSW @ UTA,L,25,10,7,3,0,0,0
"Feb 03, 2025",GSW vs. ORL,W,20,7,7,3,1,0,0
"Jan 31, 2025",GSW vs. PHX,L,19,9,8,2,0,1,0
"Jan 29, 2025",GSW vs. OKC,W,8,0,0,0,0,0,2
"Jan 28, 2025",GSW vs. UTA,W,16,10,5,2,0,0,0
"Jan 25, 2025",GSW vs. LAL,L,23,8,2,3,1,0,2
"Jan 23, 2025",GSW vs. CHI,W,20,20,5,3,0,0,1
"Jan 22, 2025",GSW @ SAC,L,15,5,6,1,0,1,1
"Jan 20, 2025",GSW vs. BOS,L,14,9,1,3,0,1,1
"Jan 10, 2025",GSW @ IND,L,7,6,0,0,0,0,0
"Dec 30, 2024",GSW vs. CLE,L,5,2,1,0,0,0,0
"Dec 27, 2024",GSW @ LAC,L,1,0,0,1,0,0,0
