GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",TOR vs. MIL,W,22,10,4,1,0,0,0
"Apr 07, 2023",TOR @ BOS,L,4,0,0,1,0,0,0
"Apr 04, 2023",TOR @ CHA,W,4,0,0,2,0,1,0
"Apr 02, 2023",TOR @ CHA,W,2,0,1,0,0,0,0
"Mar 26, 2023",TOR vs. WAS,W,2,0,0,0,0,0,0
"Feb 26, 2023",TOR @ CLE,L,5,2,0,0,0,0,0
"Jan 28, 2023",TOR @ POR,W,2,2,1,0,0,0,0
"Nov 23, 2022",TOR vs. BKN,L,5,6,1,0,0,0,0
"Oct 31, 2022",TOR vs. ATL,W,3,0,0,0,0,0,0
"Nov 19, 2023",TOR vs. DET,W,4,0,0,1,0,0,0
"Apr 13, 2025",DET @ MIL,L,17,4,7,2,0,0,0
