GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",BOS @ MEM,W,9,5,2,1,0,0,0
"Apr 07, 2022",BOS @ MIL,L,18,11,4,1,0,0,0
"Apr 06, 2022",BOS @ CHI,W,5,0,1,1,0,0,0
"Apr 03, 2022",BOS vs. WAS,W,8,0,2,3,0,0,0
"Mar 28, 2022",BOS @ TOR,L,21,10,5,0,0,1,0
"Mar 27, 2022",BOS vs. MIN,W,4,6,0,0,0,0,0
"Mar 23, 2022",BOS vs. UTA,W,5,0,2,0,0,0,0
"Mar 21, 2022",BOS @ OKC,W,12,3,1,0,0,0,0
"Mar 20, 2022",BOS @ DEN,W,5,0,2,0,0,0,0
"Mar 18, 2022",BOS @ SAC,W,3,3,2,0,0,0,1
"Mar 16, 2022",BOS @ GSW,W,3,3,0,0,0,0,0
"Mar 11, 2022",BOS vs. DET,W,2,0,0,0,0,0,0
"Mar 09, 2022",BOS @ CHA,W,1,0,0,0,0,0,0
"Feb 27, 2022",BOS @ IND,L,3,3,0,0,0,0,0
"Feb 24, 2022",BOS @ BKN,W,6,0,1,0,0,0,1
"Feb 15, 2022",BOS @ PHI,W,13,9,1,3,0,0,0
"Jan 31, 2022",BOS vs. MIA,W,5,3,0,0,0,0,0
"Jan 29, 2022",BOS @ NOP,W,2,0,0,0,0,0,0
"Jan 28, 2022",BOS @ ATL,L,3,0,2,0,0,0,0
"Jan 08, 2022",BOS vs. NYK,W,2,0,0,0,0,0,0
"Jan 02, 2022",BOS vs. ORL,W,6,0,0,1,0,0,0
"Dec 29, 2021",BOS vs. LAC,L,7,3,1,0,0,1,0
"Dec 27, 2021",BOS @ MIN,L,11,3,1,0,0,0,0
"Dec 13, 2021",BOS vs. MIL,W,2,3,1,0,0,0,0
"Nov 22, 2021",BOS vs. HOU,W,4,0,1,0,1,0,0
"Nov 20, 2021",BOS vs. OKC,W,1,0,0,0,0,0,0
"Apr 09, 2023",BOS vs. ATL,W,38,26,5,6,1,1,1
"Apr 07, 2023",BOS vs. TOR,W,37,26,5,2,0,0,3
"Apr 05, 2023",BOS vs. TOR,W,28,3,6,4,2,1,0
"Apr 04, 2023",BOS @ PHI,L,3,0,0,0,0,0,0
"Mar 31, 2023",BOS vs. UTA,W,13,2,1,2,0,0,1
"Mar 30, 2023",BOS @ MIL,W,12,3,2,0,1,0,1
"Mar 28, 2023",BOS @ WAS,L,9,5,1,2,1,0,0
"Mar 26, 2023",BOS vs. SAS,W,28,6,4,2,0,0,0
"Mar 24, 2023",BOS vs. IND,W,24,9,5,1,1,0,0
"Mar 21, 2023",BOS @ SAC,W,3,3,0,0,0,0,0
"Mar 18, 2023",BOS @ UTA,L,14,6,2,3,1,0,0
"Mar 17, 2023",BOS @ POR,W,20,6,6,0,1,0,0
"Mar 15, 2023",BOS @ MIN,W,2,0,0,0,0,0,1
"Mar 13, 2023",BOS @ HOU,L,20,5,1,0,0,0,0
"Mar 11, 2023",BOS @ ATL,W,21,12,2,0,0,0,0
"Mar 08, 2023",BOS vs. POR,W,32,11,1,0,1,2,1
"Mar 06, 2023",BOS @ CLE,L,7,3,3,1,1,1,1
"Mar 05, 2023",BOS vs. NYK,L,20,3,3,3,0,0,1
"Mar 03, 2023",BOS vs. BKN,L,18,6,3,2,1,0,0
"Mar 01, 2023",BOS vs. CLE,W,9,6,2,0,0,0,0
"Feb 27, 2023",BOS @ NYK,L,16,2,2,0,1,1,1
"Feb 25, 2023",BOS @ PHI,W,2,0,0,0,0,0,0
"Feb 23, 2023",BOS @ IND,W,13,8,1,1,0,3,0
"Feb 15, 2023",BOS vs. DET,W,22,5,2,1,1,0,0
"Feb 14, 2023",BOS @ MIL,L,39,15,9,2,1,0,0
"Feb 12, 2023",BOS vs. MEM,W,31,20,0,0,1,0,1
"Feb 10, 2023",BOS vs. CHA,W,32,12,3,3,0,0,0
"Feb 08, 2023",BOS vs. PHI,W,20,14,8,0,0,0,1
"Feb 06, 2023",BOS @ DET,W,31,15,6,1,0,1,1
