GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",BKN vs. CLE,W,29,12,3,4,0,0,1
"Apr 06, 2022",BKN @ NYK,W,30,15,2,2,1,0,0
"Mar 31, 2022",BKN vs. MIL,L,35,16,3,0,0,0,1
"Mar 29, 2022",BKN vs. DET,W,30,11,3,4,2,0,2
"Mar 27, 2022",BKN vs. CHA,L,29,12,0,2,0,1,0
"Mar 26, 2022",BKN @ MIA,W,22,17,0,0,1,0,0
"Mar 21, 2022",BKN vs. UTA,W,12,0,0,0,0,0,1
"Mar 18, 2022",BKN vs. POR,W,38,27,3,2,2,0,2
"Mar 10, 2022",BKN @ PHI,W,27,24,1,2,5,1,2
"Mar 08, 2022",BKN @ CHA,W,32,9,3,1,1,0,2
"Mar 06, 2022",BKN @ BOS,L,29,8,2,1,1,0,0
"Mar 03, 2022",BKN vs. MIA,L,35,8,2,3,1,0,1
"Mar 01, 2022",BKN @ TOR,L,37,18,4,6,0,0,2
"Feb 28, 2022",BKN vs. TOR,L,23,11,3,3,1,0,1
"Feb 26, 2022",BKN @ MIL,W,29,19,1,3,1,1,1
"Feb 24, 2022",BKN vs. BOS,L,31,22,7,1,1,0,0
"Feb 17, 2022",BKN vs. WAS,L,31,12,4,4,0,0,3
"Feb 16, 2022",BKN @ NYK,W,36,20,1,6,0,0,2
"Feb 14, 2022",BKN vs. SAC,W,32,23,7,5,0,0,4
"Feb 08, 2022",PHI vs. PHX,L,26,3,4,2,0,1,1
"Feb 06, 2022",PHI @ CHI,W,39,12,3,4,1,0,1
"Feb 04, 2022",PHI @ DAL,L,36,11,3,3,0,0,2
"Jan 31, 2022",PHI vs. MEM,W,40,9,3,8,2,0,2
"Jan 29, 2022",PHI vs. SAC,W,32,8,2,5,1,1,2
"Jan 19, 2022",PHI vs. ORL,W,33,5,8,3,0,1,0
"Jan 17, 2022",PHI @ WAS,L,32,8,2,5,1,2,2
"Jan 15, 2022",PHI @ MIA,W,40,21,5,5,2,0,3
"Jan 14, 2022",PHI vs. BOS,W,36,17,2,7,1,1,4
"Jan 12, 2022",PHI vs. CHA,L,34,10,3,3,1,0,3
"Jan 07, 2022",PHI vs. SAS,W,37,23,7,7,0,0,1
"Jan 05, 2022",PHI @ ORL,W,42,20,7,12,1,0,4
"Jan 03, 2022",PHI vs. HOU,W,30,15,5,5,0,0,3
"Dec 30, 2021",PHI @ BKN,W,34,17,3,6,2,0,2
"Dec 28, 2021",PHI @ TOR,W,34,12,4,5,0,0,0
"Dec 26, 2021",PHI @ WAS,W,35,11,5,9,0,0,3
"Dec 23, 2021",PHI vs. ATL,L,37,12,1,5,1,0,3
"Dec 20, 2021",PHI @ BOS,W,40,26,4,7,1,0,4
"Dec 16, 2021",PHI @ BKN,L,39,29,3,4,1,0,1
"Dec 15, 2021",PHI vs. MIA,L,33,7,2,4,0,1,1
"Dec 11, 2021",PHI vs. GSW,W,35,10,5,2,1,1,2
"Dec 09, 2021",PHI vs. UTA,L,33,18,2,4,0,0,1
"Dec 08, 2021",PHI @ CHA,W,35,23,4,8,1,0,1
"Dec 06, 2021",PHI @ CHA,W,41,6,4,2,1,1,4
"Dec 03, 2021",PHI @ ATL,W,33,18,3,5,1,0,1
"Dec 01, 2021",PHI @ BOS,L,36,17,0,6,1,0,2
"Nov 29, 2021",PHI vs. ORL,W,33,24,2,1,2,0,0
"Nov 27, 2021",PHI vs. MIN,L,46,14,3,1,0,0,1
"Nov 24, 2021",PHI @ GSW,L,33,24,1,0,2,0,1
"Nov 20, 2021",PHI @ POR,L,33,10,2,3,1,0,3
"Nov 18, 2021",PHI @ DEN,W,38,20,6,5,1,0,2
"Nov 16, 2021",PHI @ UTA,L,25,5,1,2,2,0,1
"Nov 13, 2021",PHI @ IND,L,33,11,4,5,1,0,3
"Nov 11, 2021",PHI vs. TOR,L,36,15,6,4,1,0,2
"Nov 08, 2021",PHI vs. NYK,L,41,14,4,6,1,0,3
"Nov 06, 2021",PHI @ CHI,W,33,11,1,1,1,0,2
"Nov 04, 2021",PHI @ DET,W,37,23,0,2,0,0,3
"Nov 03, 2021",PHI vs. CHI,W,34,22,5,3,1,0,3
"Nov 01, 2021",PHI vs. POR,W,34,23,6,5,0,0,1
"Oct 30, 2021",PHI vs. ATL,W,29,15,0,1,1,0,0
"Oct 28, 2021",PHI vs. DET,W,32,12,5,0,0,0,1
"Oct 26, 2021",PHI @ NYK,L,30,4,2,1,0,0,3
"Oct 24, 2021",PHI @ OKC,W,34,28,3,3,1,0,0
"Oct 22, 2021",PHI vs. BKN,L,36,23,4,0,1,2,0
"Oct 20, 2021",PHI @ NOP,W,28,10,2,2,0,0,2
"Apr 07, 2023",BKN vs. ORL,W,15,13,1,1,1,0,1
"Apr 05, 2023",BKN @ DET,W,8,0,2,1,0,0,0
"Apr 04, 2023",BKN vs. MIN,L,3,1,0,0,0,0,0
"Apr 02, 2023",BKN vs. UTA,W,17,7,1,0,0,0,0
"Mar 31, 2023",BKN vs. ATL,W,10,8,0,1,0,0,1
"Mar 29, 2023",BKN vs. HOU,W,13,3,0,0,0,0,0
"Mar 23, 2023",BKN vs. CLE,L,6,0,0,1,0,0,1
"Mar 21, 2023",BKN vs. CLE,L,10,0,0,1,0,0,0
"Mar 19, 2023",BKN vs. DEN,L,18,12,2,0,0,0,0
"Mar 16, 2023",BKN vs. SAC,L,22,14,1,1,1,0,1
"Mar 14, 2023",BKN @ OKC,L,19,8,2,1,0,0,0
"Mar 12, 2023",BKN @ DEN,W,19,12,2,1,0,0,0
"Mar 10, 2023",BKN @ MIN,W,17,11,2,1,0,0,0
"Mar 09, 2023",BKN @ MIL,L,11,5,2,0,1,0,0
"Mar 07, 2023",BKN @ HOU,W,22,12,3,2,1,0,2
"Mar 05, 2023",BKN vs. CHA,W,16,2,1,1,2,0,1
"Mar 03, 2023",BKN @ BOS,W,14,8,0,1,3,0,0
"Mar 01, 2023",BKN @ NYK,L,23,10,2,1,1,0,0
"Feb 28, 2023",BKN vs. MIL,L,5,0,0,0,0,0,0
"Feb 26, 2023",BKN @ ATL,L,7,2,0,1,0,0,0
"Feb 24, 2023",BKN @ CHI,L,21,19,2,3,0,0,2
"Feb 15, 2023",BKN vs. MIA,W,10,0,0,0,0,0,1
"Feb 04, 2023",BKN vs. WAS,W,20,9,0,1,2,0,0
"Feb 01, 2023",BKN @ BOS,L,25,7,0,1,1,0,0
"Jan 30, 2023",BKN vs. LAL,W,22,6,2,0,0,0,0
"Jan 28, 2023",BKN vs. NYK,W,33,14,1,3,0,0,0
"Jan 25, 2023",BKN @ PHI,L,35,32,0,4,1,0,2
"Jan 22, 2023",BKN @ GSW,W,31,12,1,4,1,1,5
"Jan 20, 2023",BKN @ UTA,W,25,10,4,3,0,0,1
"Jan 19, 2023",BKN @ PHX,L,36,16,2,2,1,0,1
"Jan 17, 2023",BKN @ SAS,L,31,16,7,2,1,0,3
"Jan 15, 2023",BKN vs. OKC,L,27,23,2,1,1,0,1
"Jan 12, 2023",BKN vs. BOS,L,25,11,0,1,0,0,2
"Jan 08, 2023",BKN @ MIA,W,24,14,3,0,1,1,1
"Jan 06, 2023",BKN @ NOP,W,16,8,1,2,1,0,1
"Jan 04, 2023",BKN @ CHI,L,27,22,1,2,1,1,0
"Jan 02, 2023",BKN vs. SAS,W,22,16,4,1,1,0,0
"Dec 31, 2022",BKN @ CHA,W,20,8,4,3,0,0,2
"Dec 28, 2022",BKN @ ATL,W,7,2,0,1,0,0,0
"Dec 23, 2022",BKN vs. MIL,W,25,5,1,0,2,0,1
"Dec 21, 2022",BKN vs. GSW,W,19,12,2,6,1,0,0
"Dec 18, 2022",BKN @ DET,W,9,3,0,1,0,0,0
"Dec 16, 2022",BKN @ TOR,W,7,0,0,1,0,0,0
"Dec 12, 2022",BKN @ WAS,W,22,3,2,0,1,0,0
"Dec 09, 2022",BKN vs. ATL,W,33,11,1,2,1,0,1
"Dec 07, 2022",BKN vs. CHA,W,28,20,5,6,0,0,0
"Dec 04, 2022",BKN vs. BOS,L,14,0,1,0,0,0,0
"Dec 02, 2022",BKN vs. TOR,W,20,4,1,5,0,0,4
"Nov 30, 2022",BKN vs. WAS,W,23,2,6,1,1,0,3
"Nov 28, 2022",BKN vs. ORL,W,25,3,2,1,2,0,1
"Nov 27, 2022",BKN vs. POR,W,29,29,3,1,1,0,2
"Nov 25, 2022",BKN @ IND,L,28,14,2,5,0,0,2
"Nov 22, 2022",BKN @ PHI,L,24,14,2,2,1,1,1
"Nov 20, 2022",BKN vs. MEM,W,25,10,5,5,0,1,1
"Nov 17, 2022",BKN @ POR,W,27,0,1,0,1,1,3
"Nov 15, 2022",BKN @ SAC,L,24,9,3,3,0,0,1
"Nov 12, 2022",BKN @ LAC,W,28,22,3,3,0,0,1
"Nov 09, 2022",BKN vs. NYK,W,23,23,3,2,1,0,0
