GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 21, 2022",OKC vs. BOS,L,37,31,1,9,0,0,2
"Mar 18, 2022",OKC @ MIA,L,33,26,7,4,1,2,3
"Mar 16, 2022",OKC @ SAS,L,35,34,6,8,3,1,3
"Mar 14, 2022",OKC vs. CHA,L,36,32,8,5,0,0,3
"Mar 13, 2022",OKC vs. MEM,L,38,31,6,7,2,3,1
"Mar 09, 2022",OKC @ MIN,L,31,8,3,8,1,0,4
"Mar 08, 2022",OKC vs. MIL,L,35,33,8,14,3,1,5
"Mar 06, 2022",OKC vs. UTA,L,38,33,7,8,4,1,0
"Mar 04, 2022",OKC vs. MIN,L,30,33,5,7,1,0,5
"Mar 02, 2022",OKC @ DEN,W,37,29,7,5,2,1,7
"Feb 28, 2022",OKC vs. SAC,L,33,37,7,10,3,0,5
"Feb 25, 2022",OKC @ IND,W,38,36,8,5,2,3,7
"Feb 24, 2022",OKC vs. PHX,L,35,32,2,5,0,0,6
"Jan 28, 2022",OKC vs. IND,L,17,10,2,3,2,1,0
"Jan 24, 2022",OKC vs. CHI,L,39,31,3,10,3,1,3
"Jan 22, 2022",OKC @ CLE,L,39,29,9,6,3,1,3
"Jan 21, 2022",OKC @ CHA,L,33,29,5,6,1,1,1
"Jan 19, 2022",OKC @ SAS,L,30,13,3,7,2,0,3
"Jan 17, 2022",OKC @ DAL,L,37,34,6,5,2,0,2
"Jan 15, 2022",OKC vs. CLE,L,34,21,4,7,1,2,3
"Jan 13, 2022",OKC @ BKN,W,35,33,10,9,1,2,5
"Jan 11, 2022",OKC @ WAS,L,35,32,3,8,1,0,2
"Jan 09, 2022",OKC vs. DEN,L,31,8,5,4,1,2,1
"Jan 07, 2022",OKC vs. MIN,L,28,12,3,6,2,1,4
"Jan 05, 2022",OKC @ MIN,L,38,19,2,5,0,0,4
"Dec 31, 2021",OKC vs. NYK,W,35,23,4,4,2,1,4
"Dec 28, 2021",OKC @ SAC,L,35,33,5,5,0,0,1
"Dec 26, 2021",OKC vs. NOP,W,35,31,4,5,1,3,1
