GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",UTA @ LAL,L,31,20,9,2,0,0,0
"Apr 08, 2023",UTA vs. DEN,W,23,15,6,4,1,0,3
"Apr 06, 2023",UTA vs. OKC,L,25,11,3,0,1,0,3
"Apr 04, 2023",UTA vs. LAL,L,22,6,0,0,0,0,1
"Apr 02, 2023",UTA @ BKN,L,13,2,1,0,1,0,0
"Mar 31, 2023",UTA @ BOS,L,31,12,4,1,1,0,0
"Mar 29, 2023",UTA @ SAS,W,17,4,0,1,0,0,1
"Mar 25, 2023",UTA @ SAC,L,29,5,3,1,0,0,2
"Mar 24, 2023",UTA vs. MIL,L,25,26,2,0,0,0,1
"Mar 22, 2023",UTA vs. POR,L,20,5,1,2,0,0,0
"Mar 20, 2023",UTA vs. SAC,W,33,12,1,3,0,0,1
"Mar 18, 2023",UTA vs. BOS,W,16,8,1,1,0,1,0
"Mar 13, 2023",UTA @ MIA,L,30,23,5,1,1,0,3
"Mar 11, 2023",UTA @ CHA,W,14,9,4,0,1,0,0
"Mar 09, 2023",UTA @ ORL,W,22,17,2,2,3,0,1
"Mar 07, 2023",UTA @ DAL,L,29,6,3,1,0,0,1
"Mar 05, 2023",UTA @ OKC,L,16,5,1,2,0,0,0
"Mar 03, 2023",UTA @ OKC,L,26,16,3,1,0,1,1
"Feb 28, 2023",UTA vs. SAS,L,20,0,0,2,1,0,3
"Feb 25, 2023",UTA vs. SAS,W,13,11,1,1,1,0,0
"Feb 23, 2023",UTA vs. OKC,W,14,2,1,1,0,0,0
"Feb 15, 2023",UTA @ MEM,L,24,7,3,2,0,0,1
"Feb 13, 2023",UTA @ IND,W,13,0,1,2,0,1,0
"Feb 11, 2023",UTA @ NYK,L,4,0,0,0,0,0,0
"Feb 10, 2023",UTA @ TOR,W,22,7,2,2,1,0,2
"Feb 08, 2023",UTA vs. MIN,L,24,9,1,2,0,0,1
"Jan 25, 2023",UTA @ POR,L,1,0,0,0,0,0,0
"Jan 23, 2023",UTA vs. CHA,W,4,3,2,0,0,0,2
"Jan 18, 2023",UTA vs. LAC,W,3,3,1,0,0,0,0
"Jan 14, 2023",UTA vs. PHI,L,8,3,0,0,0,0,1
"Jan 10, 2023",UTA vs. CLE,W,5,0,1,0,0,0,1
"Dec 26, 2022",UTA @ SAS,L,5,0,0,0,0,0,0
"Dec 22, 2022",UTA vs. WAS,W,3,0,0,0,0,1,0
"Dec 20, 2022",UTA @ DET,W,5,0,0,0,0,0,0
"Dec 19, 2022",UTA @ CLE,L,10,3,0,0,1,0,0
"Dec 17, 2022",UTA @ MIL,L,15,2,3,1,0,0,1
"Dec 07, 2022",UTA vs. GSW,W,20,18,3,1,0,1,1
"Dec 03, 2022",UTA vs. POR,L,12,3,2,1,0,0,1
"Dec 02, 2022",UTA vs. IND,W,21,9,1,1,0,0,2
"Nov 30, 2022",UTA vs. LAC,W,11,3,1,1,0,0,0
"Nov 23, 2022",UTA vs. DET,L,12,10,2,0,0,0,1
"Nov 21, 2022",UTA @ LAC,L,7,2,1,0,0,1,0
"Nov 19, 2022",UTA @ POR,W,12,3,0,1,1,0,0
"Nov 18, 2022",UTA vs. PHX,W,10,4,1,0,0,1,0
"Nov 15, 2022",UTA vs. NYK,L,17,9,4,2,0,1,1
"Nov 12, 2022",UTA @ WAS,L,2,0,0,0,0,0,0
"Nov 07, 2022",UTA vs. LAL,W,5,2,1,0,1,0,1
"Nov 04, 2022",UTA @ LAL,W,1,0,1,0,0,0,0
"Oct 26, 2022",UTA vs. HOU,W,6,0,1,0,0,0,0
"Oct 24, 2022",UTA @ HOU,L,16,13,3,0,0,0,2
"Oct 23, 2022",UTA @ NOP,W,0,0,0,0,0,0,0
"Oct 19, 2022",UTA vs. DEN,W,1,0,0,0,0,0,0
"Mar 17, 2024",DET vs. MIA,L,35,13,8,2,0,2,0
"Mar 15, 2024",DET vs. MIA,L,34,24,6,0,1,0,2
"Mar 13, 2024",DET vs. TOR,W,38,12,4,0,0,0,3
"Mar 11, 2024",DET vs. CHA,W,37,17,8,3,2,1,2
"Mar 09, 2024",DET vs. DAL,L,32,27,4,2,1,1,0
"Mar 07, 2024",DET vs. BKN,W,23,4,6,1,0,1,1
"Mar 05, 2024",DET @ MIA,L,29,22,4,2,1,0,1
"Mar 03, 2024",DET @ ORL,L,33,15,4,4,2,0,1
"Mar 01, 2024",DET vs. CLE,L,25,7,2,1,2,0,3
"Feb 27, 2024",DET @ CHI,W,21,17,3,1,1,0,0
"Feb 26, 2024",DET @ NYK,L,33,12,3,1,0,0,2
"Feb 24, 2024",DET vs. ORL,L,31,17,3,5,1,0,0
"Feb 22, 2024",DET @ IND,L,33,14,1,0,0,0,1
"Feb 14, 2024",DET @ PHX,L,21,18,1,1,2,0,0
"Feb 13, 2024",DET @ LAL,L,26,8,4,4,0,0,0
"Feb 10, 2024",DET @ LAC,L,32,20,9,1,1,0,1
"Feb 06, 2024",UTA vs. OKC,W,25,2,6,3,1,0,2
"Feb 04, 2024",UTA vs. MIL,W,24,11,4,1,1,0,1
"Feb 01, 2024",UTA vs. PHI,L,27,7,4,2,0,0,0
"Jan 30, 2024",UTA @ NYK,L,29,14,5,1,0,1,1
"Jan 29, 2024",UTA @ BKN,L,22,5,4,0,0,1,0
"Jan 27, 2024",UTA @ CHA,W,27,5,3,3,1,0,0
"Jan 25, 2024",UTA @ WAS,W,21,10,7,2,0,0,0
"Jan 23, 2024",UTA @ NOP,L,25,18,4,2,2,0,1
"Jan 20, 2024",UTA @ HOU,L,29,10,7,3,0,0,1
"Jan 18, 2024",UTA vs. OKC,L,29,12,5,2,1,0,1
"Jan 15, 2024",UTA vs. IND,W,24,8,4,2,0,0,1
"Jan 13, 2024",UTA vs. LAL,W,24,0,4,4,0,0,1
"Jan 12, 2024",UTA vs. TOR,W,23,13,2,0,0,1,0
"Jan 10, 2024",UTA vs. DEN,W,21,3,0,2,0,0,3
"Jan 08, 2024",UTA @ MIL,W,32,5,3,1,1,1,1
"Jan 06, 2024",UTA @ PHI,W,33,7,7,2,1,0,4
"Jan 05, 2024",UTA @ BOS,L,25,7,4,3,1,0,2
"Jan 03, 2024",UTA vs. DET,W,35,16,7,4,2,0,0
"Jan 01, 2024",UTA vs. DAL,W,29,24,6,2,2,1,1
"Dec 30, 2023",UTA vs. MIA,W,31,12,7,2,2,1,0
"Dec 28, 2023",UTA @ NOP,L,14,5,2,0,1,0,1
"Dec 26, 2023",UTA @ SAS,W,23,8,3,0,0,0,1
"Dec 23, 2023",UTA @ TOR,W,20,6,1,0,1,0,3
"Dec 21, 2023",UTA @ DET,W,29,16,2,0,1,0,0
"Dec 20, 2023",UTA @ CLE,L,36,9,7,2,0,0,2
"Dec 18, 2023",UTA vs. BKN,W,25,2,4,3,2,0,1
"Dec 16, 2023",UTA @ SAC,L,25,7,2,0,0,0,0
