GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",SAS vs. TOR,W,37,20,8,6,0,0,4
"Apr 11, 2025",SAS @ PHX,L,31,16,4,10,1,0,2
"Apr 09, 2025",SAS @ GSW,W,35,21,3,5,2,1,2
"Apr 08, 2025",SAS @ LAC,L,32,19,1,8,0,2,4
"Apr 06, 2025",SAS @ POR,L,31,22,7,5,1,0,4
"Apr 04, 2025",SAS vs. CLE,L,33,22,9,11,1,0,3
"Apr 02, 2025",SAS @ DEN,W,33,15,15,9,0,0,1
"Apr 01, 2025",SAS vs. ORL,L,35,16,8,6,0,1,7
"Mar 30, 2025",SAS vs. GSW,L,22,9,3,2,0,0,4
"Mar 29, 2025",SAS vs. BOS,L,30,22,2,8,1,0,0
"Mar 27, 2025",SAS @ CLE,L,32,22,11,8,1,0,3
"Mar 25, 2025",SAS @ DET,L,30,19,2,4,1,0,2
"Mar 23, 2025",SAS @ TOR,W,20,15,5,1,1,1,4
"Mar 21, 2025",SAS vs. PHI,W,35,17,5,14,3,1,3
"Mar 19, 2025",SAS vs. NYK,W,27,22,3,3,1,1,3
"Mar 17, 2025",SAS @ LAL,L,28,23,8,3,0,0,2
"Mar 15, 2025",SAS vs. NOP,W,36,17,1,7,1,0,3
"Mar 14, 2025",SAS vs. CHA,L,29,26,3,1,1,1,4
"Mar 12, 2025",SAS vs. DAL,W,27,8,2,1,1,0,4
"Mar 10, 2025",SAS vs. DAL,L,30,14,5,6,2,0,2
"Mar 09, 2025",SAS @ MIN,L,28,20,7,4,1,0,0
"Mar 07, 2025",SAS @ SAC,L,26,25,2,3,0,0,1
"Mar 04, 2025",SAS vs. BKN,W,27,17,4,6,2,0,3
"Mar 02, 2025",SAS vs. OKC,L,32,32,8,3,0,0,4
"Mar 01, 2025",SAS @ MEM,W,32,24,3,7,1,0,1
"Feb 26, 2025",SAS @ HOU,L,30,22,7,5,3,0,0
"Feb 25, 2025",SAS @ NOP,L,12,4,4,0,0,0,3
"Feb 23, 2025",SAS @ NOP,L,22,2,0,2,0,0,2
"Feb 21, 2025",SAS vs. DET,L,13,12,3,1,2,0,2
"Feb 20, 2025",SAS vs. PHX,W,26,10,10,2,3,0,2
"Feb 12, 2025",SAS @ BOS,L,24,20,4,3,2,0,1
"Feb 10, 2025",SAS @ WAS,W,20,16,1,2,3,1,1
"Feb 08, 2025",SAS @ ORL,L,29,15,3,2,1,1,0
"Feb 07, 2025",SAS @ CHA,L,31,33,4,2,0,0,4
"Feb 05, 2025",SAS @ ATL,W,20,11,2,3,1,1,3
"Feb 03, 2025",SAS @ MEM,L,28,21,6,5,1,0,5
"Feb 01, 2025",SAS vs. MIA,L,23,10,6,6,2,0,2
"Jan 31, 2025",SAS vs. MIL,W,30,20,8,6,0,0,0
"Jan 29, 2025",SAS vs. LAC,L,33,20,3,0,2,0,1
"Jan 25, 2025",SAS vs. IND,L,32,17,6,6,1,0,2
"Jan 23, 2025",SAS @ IND,W,24,9,0,3,0,0,5
"Jan 19, 2025",SAS @ MIA,L,27,11,4,1,0,0,4
"Jan 17, 2025",SAS vs. MEM,L,25,20,4,4,1,0,3
"Jan 15, 2025",SAS vs. MEM,L,33,26,3,4,0,0,1
"Jan 13, 2025",SAS @ LAL,W,36,23,4,1,2,0,2
"Jan 08, 2025",SAS @ MIL,L,25,5,0,5,0,0,1
"Jan 06, 2025",SAS @ CHI,L,19,10,1,6,1,0,2
"Jan 04, 2025",SAS vs. DEN,L,16,10,1,3,0,0,0
"Jan 03, 2025",SAS @ DEN,W,24,8,3,4,0,0,1
"Dec 31, 2024",SAS vs. LAC,W,23,15,4,4,1,1,1
"Dec 29, 2024",SAS @ MIN,L,8,0,0,1,0,0,4
"Dec 27, 2024",SAS @ BKN,W,19,6,2,1,1,0,2
"Dec 25, 2024",SAS @ NYK,L,17,6,2,3,0,0,0
"Dec 23, 2024",SAS @ PHI,L,13,17,3,1,1,0,2
"Dec 21, 2024",SAS vs. POR,W,20,8,4,5,1,0,2
