GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",CHA vs. WAS,W,32,25,3,6,0,0,1
"Apr 08, 2022",CHA @ CHI,W,30,15,4,8,0,0,0
"Apr 07, 2022",CHA vs. ORL,W,26,22,8,3,1,1,0
"Apr 05, 2022",CHA @ MIA,L,34,16,2,6,0,0,1
"Apr 02, 2022",CHA @ PHI,L,28,10,4,6,5,0,1
"Mar 30, 2022",CHA @ NYK,W,33,15,5,4,2,0,0
"Mar 28, 2022",CHA vs. DEN,L,26,12,2,8,1,0,0
"Mar 27, 2022",CHA @ BKN,W,37,14,7,4,1,0,3
"Mar 25, 2022",CHA vs. UTA,W,34,25,4,1,1,0,0
"Mar 23, 2022",CHA vs. NYK,L,39,18,3,3,0,1,4
"Mar 21, 2022",CHA vs. NOP,W,35,17,2,1,1,1,2
"Mar 19, 2022",CHA vs. DAL,W,29,18,6,6,0,1,2
"Mar 16, 2022",CHA vs. ATL,W,35,18,3,2,3,0,2
"Mar 14, 2022",CHA @ OKC,W,32,30,6,4,2,0,2
"Mar 11, 2022",CHA @ NOP,W,33,25,3,8,2,0,3
"Mar 09, 2022",CHA vs. BOS,L,38,14,1,3,5,0,2
"Mar 08, 2022",CHA vs. BKN,L,37,30,8,4,3,1,2
"Mar 05, 2022",CHA vs. SAS,W,35,31,5,6,1,0,1
"Mar 02, 2022",CHA @ CLE,W,33,27,7,7,2,1,0
"Feb 28, 2022",CHA @ MIL,L,36,17,4,8,2,0,3
"Feb 27, 2022",CHA vs. DET,L,41,33,5,2,2,0,1
"Feb 25, 2022",CHA vs. TOR,W,32,23,4,9,1,1,0
"Feb 17, 2022",CHA vs. MIA,L,36,5,2,3,2,0,1
"Feb 15, 2022",CHA @ MIN,L,41,25,1,5,0,1,0
"Feb 12, 2022",CHA vs. MEM,L,41,35,10,9,0,1,2
"Feb 11, 2022",CHA @ DET,W,37,25,10,11,4,0,3
"Feb 09, 2022",CHA vs. CHI,L,39,16,4,6,0,0,1
"Feb 07, 2022",CHA vs. TOR,L,41,20,5,6,0,0,1
"Feb 05, 2022",CHA vs. MIA,L,32,16,6,1,0,0,5
"Feb 04, 2022",CHA vs. CLE,L,40,24,3,4,0,0,0
"Feb 02, 2022",CHA @ BOS,L,41,23,5,4,3,0,3
"Jan 30, 2022",CHA vs. LAC,L,40,10,5,3,0,0,2
"Jan 28, 2022",CHA vs. LAL,W,37,20,6,3,0,0,2
"Jan 26, 2022",CHA @ IND,W,28,20,2,3,2,0,2
"Jan 25, 2022",CHA @ TOR,L,29,12,3,6,2,1,1
"Jan 23, 2022",CHA vs. ATL,L,30,7,5,7,3,0,1
"Jan 21, 2022",CHA vs. OKC,W,31,24,5,9,0,0,2
"Jan 19, 2022",CHA @ BOS,W,41,28,4,10,0,0,2
"Jan 17, 2022",CHA @ NYK,W,35,22,6,7,1,0,0
"Jan 14, 2022",CHA vs. ORL,L,39,19,8,6,1,1,0
"Jan 12, 2022",CHA @ PHI,W,41,22,4,4,2,0,0
"Jan 10, 2022",CHA vs. MIL,W,40,27,7,4,2,0,1
"Jan 08, 2022",CHA vs. MIL,W,34,28,4,4,2,0,2
"Jan 05, 2022",CHA vs. DET,W,29,16,3,6,0,0,0
"Jan 03, 2022",CHA @ WAS,L,32,25,5,3,3,0,2
"Jan 02, 2022",CHA vs. PHX,L,25,9,3,1,0,1,0
"Dec 29, 2021",CHA @ IND,W,38,35,7,3,2,2,0
"Dec 27, 2021",CHA vs. HOU,W,27,27,4,5,1,0,1
"Dec 23, 2021",CHA @ DEN,W,35,17,7,4,0,0,2
"Dec 20, 2021",CHA @ UTA,L,34,20,6,4,0,0,0
"Dec 19, 2021",CHA @ PHX,L,21,4,3,0,0,0,1
"Dec 17, 2021",CHA @ POR,L,23,2,4,1,2,0,0
"Dec 15, 2021",CHA @ SAS,W,26,13,1,5,0,0,2
"Dec 13, 2021",CHA @ DAL,L,33,20,4,2,1,1,1
"Dec 01, 2021",CHA @ MIL,L,38,10,3,8,3,1,0
"Nov 29, 2021",CHA @ CHI,L,37,31,2,4,0,1,1
"Nov 27, 2021",CHA @ HOU,L,43,31,3,5,1,1,1
"Nov 26, 2021",CHA vs. MIN,W,29,15,3,2,2,1,1
"Nov 24, 2021",CHA @ ORL,W,37,27,3,5,6,1,1
"Nov 22, 2021",CHA @ WAS,W,35,32,2,4,2,0,1
"Nov 20, 2021",CHA @ ATL,L,30,10,4,4,0,0,1
"Nov 19, 2021",CHA vs. IND,W,23,10,5,3,0,0,0
"Nov 17, 2021",CHA vs. WAS,W,33,19,8,4,1,1,1
"Nov 14, 2021",CHA vs. GSW,W,32,20,0,1,1,2,2
"Nov 12, 2021",CHA vs. NYK,W,32,18,4,3,0,0,1
"Nov 10, 2021",CHA @ MEM,W,27,11,3,5,2,1,2
"Nov 08, 2021",CHA @ LAL,L,40,29,2,3,1,0,2
"Nov 07, 2021",CHA @ LAC,L,33,17,8,2,2,0,1
"Nov 05, 2021",CHA @ SAC,L,31,9,1,4,0,0,0
"Nov 03, 2021",CHA @ GSW,L,35,5,6,2,0,0,3
"Nov 01, 2021",CHA vs. CLE,L,34,23,6,2,2,1,2
"Oct 31, 2021",CHA vs. POR,W,33,14,2,5,1,0,3
"Oct 22, 2021",CHA @ CLE,W,23,6,2,2,1,0,3
"Mar 23, 2023",CHA @ NOP,L,10,5,4,2,1,0,1
"Mar 20, 2023",CHA vs. IND,W,37,23,1,9,2,0,2
"Mar 17, 2023",CHA vs. PHI,L,31,14,2,4,3,0,1
"Mar 14, 2023",CHA vs. CLE,L,35,22,3,9,0,0,2
"Mar 12, 2023",CHA vs. CLE,L,39,27,4,6,4,0,8
"Mar 11, 2023",CHA vs. UTA,L,34,22,6,8,2,1,0
"Mar 09, 2023",CHA @ DET,W,35,21,6,9,2,2,0
"Mar 07, 2023",CHA @ NYK,W,38,25,5,7,0,0,0
"Mar 05, 2023",CHA @ BKN,L,37,16,4,4,0,0,1
"Mar 03, 2023",CHA vs. ORL,L,37,22,2,6,2,0,6
"Mar 01, 2023",CHA vs. PHX,L,38,20,6,5,0,0,6
"Feb 27, 2023",CHA vs. DET,W,38,22,3,3,1,0,1
"Feb 25, 2023",CHA vs. MIA,W,35,14,0,2,2,0,2
"Feb 24, 2023",CHA @ MIN,W,33,9,3,5,2,0,1
"Feb 13, 2023",CHA vs. ATL,W,33,29,4,5,0,2,2
"Feb 11, 2023",CHA vs. DEN,L,31,12,2,4,3,0,1
"Feb 10, 2023",CHA @ BOS,L,36,27,1,3,3,0,0
"Feb 08, 2023",CHA @ WAS,L,37,19,7,6,2,0,1
"Feb 05, 2023",CHA vs. ORL,L,36,24,3,6,0,1,0
"Feb 03, 2023",CHA @ DET,L,35,23,6,1,2,0,1
"Feb 02, 2023",CHA @ CHI,L,37,23,8,1,2,0,2
"Jan 31, 2023",CHA @ MIL,L,35,20,7,3,1,0,2
"Jan 29, 2023",CHA vs. MIA,W,37,31,6,7,0,1,2
"Jan 26, 2023",CHA vs. CHI,W,35,28,5,2,4,1,1
"Jan 24, 2023",CHA @ PHX,L,36,19,4,5,1,1,0
"Jan 23, 2023",CHA @ UTA,L,35,23,5,2,1,0,1
"Jan 21, 2023",CHA @ ATL,W,39,34,3,5,4,0,3
"Jan 18, 2023",CHA @ HOU,W,38,26,2,6,2,1,2
"Jan 16, 2023",CHA vs. BOS,L,36,14,3,7,3,0,0
"Jan 14, 2023",CHA vs. BOS,L,36,21,4,3,0,1,2
"Jan 12, 2023",CHA @ TOR,L,38,21,3,5,1,0,3
"Jan 10, 2023",CHA @ TOR,L,35,33,5,5,1,0,1
"Jan 08, 2023",CHA @ IND,L,36,19,6,6,2,0,7
"Jan 06, 2023",CHA @ MIL,W,34,39,2,4,1,0,1
"Jan 04, 2023",CHA vs. MEM,L,29,21,3,4,2,0,1
"Jan 02, 2023",CHA vs. LAL,L,35,27,2,4,0,0,3
"Dec 31, 2022",CHA vs. BKN,L,32,16,5,2,0,0,0
"Dec 29, 2022",CHA vs. OKC,W,34,10,4,7,0,0,3
"Dec 27, 2022",CHA @ GSW,L,34,19,3,4,1,0,4
"Dec 26, 2022",CHA @ POR,L,37,7,4,6,0,0,2
"Dec 23, 2022",CHA @ LAL,W,38,23,4,6,2,1,3
"Dec 18, 2022",CHA @ DEN,L,14,2,2,2,0,0,0
"Dec 16, 2022",CHA vs. ATL,L,32,10,0,9,1,0,3
"Dec 14, 2022",CHA vs. DET,L,42,25,5,2,1,1,0
"Dec 11, 2022",CHA @ PHI,L,34,29,8,6,0,0,5
"Dec 09, 2022",CHA vs. NYK,L,32,24,6,4,0,0,4
"Dec 07, 2022",CHA @ BKN,L,40,29,2,5,1,0,1
"Dec 05, 2022",CHA vs. LAC,L,38,22,5,8,2,0,2
"Dec 03, 2022",CHA vs. MIL,L,36,26,5,4,0,0,4
"Dec 02, 2022",CHA vs. WAS,W,41,25,5,8,2,0,0
"Nov 25, 2022",CHA vs. MIN,W,38,22,4,8,0,0,6
"Nov 23, 2022",CHA vs. PHI,W,40,22,2,6,1,0,2
"Nov 20, 2022",CHA @ WAS,L,38,8,7,5,1,0,2
"Nov 18, 2022",CHA @ CLE,L,49,28,5,5,1,0,3
"Nov 16, 2022",CHA vs. IND,L,33,17,2,8,0,0,5
"Nov 14, 2022",CHA @ ORL,W,34,17,3,2,2,0,1
"Nov 12, 2022",CHA @ MIA,L,34,22,1,6,2,0,2
"Nov 10, 2022",CHA @ MIA,L,43,22,8,3,0,0,1
"Nov 09, 2022",CHA vs. POR,L,35,18,5,5,0,0,2
"Nov 07, 2022",CHA vs. WAS,L,38,19,3,5,0,0,2
"Nov 05, 2022",CHA vs. BKN,L,36,25,7,3,0,0,4
"Oct 21, 2022",CHA vs. NOP,L,36,23,8,11,1,2,2
"Oct 19, 2022",CHA @ SAS,W,30,24,6,6,0,1,4
"Apr 07, 2024",MIA @ IND,L,22,4,0,4,2,0,0
"Apr 05, 2024",MIA @ HOU,W,25,13,3,3,2,0,1
"Apr 04, 2024",MIA vs. PHI,L,33,22,2,2,1,0,3
"Apr 02, 2024",MIA vs. NYK,W,35,34,5,3,0,1,3
"Mar 31, 2024",MIA @ WAS,W,35,27,4,2,4,1,0
"Mar 29, 2024",MIA vs. POR,W,27,22,3,6,1,0,1
"Mar 26, 2024",MIA vs. GSW,L,33,15,4,2,0,1,1
"Mar 24, 2024",MIA vs. CLE,W,31,14,3,5,1,0,0
"Mar 22, 2024",MIA vs. NOP,L,31,13,4,2,0,0,1
"Mar 20, 2024",MIA @ CLE,W,33,24,3,2,1,0,2
"Mar 18, 2024",MIA @ PHI,L,34,20,8,1,1,1,3
"Mar 17, 2024",MIA @ DET,W,36,17,6,9,1,0,0
"Mar 15, 2024",MIA @ DET,W,34,18,5,1,1,1,0
"Mar 13, 2024",MIA vs. DEN,L,35,14,4,4,1,0,2
"Mar 10, 2024",MIA vs. WAS,L,35,16,7,4,2,0,2
"Mar 08, 2024",MIA @ OKC,L,32,14,5,4,1,0,1
"Mar 07, 2024",MIA @ DAL,L,40,27,6,11,1,0,0
"Mar 05, 2024",MIA vs. DET,W,32,17,2,7,0,0,3
"Mar 02, 2024",MIA vs. UTA,W,33,14,2,8,1,0,2
"Feb 29, 2024",MIA @ DEN,L,33,19,5,4,1,0,3
"Feb 27, 2024",MIA @ POR,W,30,19,4,4,1,2,2
"Feb 11, 2024",MIA vs. BOS,L,24,13,4,6,0,0,0
"Feb 07, 2024",MIA vs. SAS,W,28,13,2,5,0,0,1
"Feb 06, 2024",MIA vs. ORL,W,31,18,6,7,1,0,1
"Feb 04, 2024",MIA vs. LAC,L,38,17,7,5,2,0,2
"Feb 02, 2024",MIA @ WAS,W,30,15,8,5,0,0,0
"Jan 31, 2024",MIA vs. SAC,W,30,3,5,10,2,1,1
"Jan 29, 2024",MIA vs. PHX,L,27,21,2,3,0,1,1
"Jan 27, 2024",MIA @ NYK,L,32,10,5,7,0,0,2
"Jan 25, 2024",MIA vs. BOS,L,29,7,2,3,1,0,0
"Jan 24, 2024",MIA vs. MEM,L,29,9,4,5,2,0,3
"Jan 22, 2024",CHA @ MIN,W,35,11,2,4,0,0,4
"Jan 20, 2024",CHA vs. PHI,L,36,19,9,6,1,0,3
"Jan 19, 2024",CHA vs. SAS,W,34,17,6,8,1,0,3
"Jan 17, 2024",CHA @ NOP,L,32,25,2,4,1,1,1
"Jan 14, 2024",CHA @ MIA,L,35,26,5,7,0,0,1
"Jan 12, 2024",CHA @ SAS,L,28,16,2,2,2,1,1
"Jan 10, 2024",CHA vs. SAC,L,32,22,4,2,1,1,0
"Jan 08, 2024",CHA vs. CHI,L,44,39,3,8,0,0,0
"Jan 05, 2024",CHA @ CHI,L,36,15,4,7,1,0,3
"Jan 02, 2024",CHA @ SAC,W,36,34,3,6,1,2,2
"Dec 29, 2023",CHA @ PHX,L,39,42,4,8,1,0,0
"Dec 28, 2023",CHA @ LAL,L,32,18,6,8,1,0,4
"Dec 26, 2023",CHA @ LAC,L,39,18,4,7,1,0,4
