GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",CHA @ BOS,L,36,5,5,2,0,0,2
"Apr 11, 2025",CHA @ BOS,L,24,5,5,2,0,0,2
"Apr 09, 2025",CHA @ TOR,L,31,9,6,0,0,0,1
"Apr 08, 2025",CHA vs. MEM,L,29,13,9,3,0,0,2
"Apr 06, 2025",CHA vs. CHI,L,26,6,6,3,0,0,1
"Apr 04, 2025",CHA vs. SAC,L,29,13,5,2,0,0,0
"Apr 02, 2025",CHA @ IND,L,27,7,5,2,0,0,2
"Mar 31, 2025",CHA vs. UTA,W,25,12,4,2,0,2,0
"Mar 30, 2025",CHA @ NOP,L,29,4,7,4,2,0,2
"Mar 28, 2025",CHA @ TOR,L,24,12,14,1,0,0,1
"Mar 25, 2025",CHA vs. ORL,L,26,8,7,0,0,0,0
"Mar 23, 2025",CHA @ MIA,L,25,7,5,1,1,0,1
"Mar 08, 2025",CHA vs. BKN,W,19,9,3,2,1,0,1
"Mar 07, 2025",CHA vs. CLE,L,18,9,6,3,1,0,1
"Mar 05, 2025",CHA vs. MIN,L,16,4,7,3,0,0,3
"Mar 03, 2025",CHA vs. GSW,L,15,10,2,0,0,0,1
"Mar 01, 2025",CHA vs. WAS,L,15,0,2,0,0,0,0
"Feb 24, 2025",CHA @ SAC,L,23,4,3,0,0,1,2
"Feb 22, 2025",CHA @ POR,L,23,6,2,1,0,2,0
"Feb 20, 2025",CHA @ DEN,L,24,3,8,0,0,0,2
"Feb 19, 2025",CHA @ LAL,W,18,3,6,0,1,0,1
"Feb 12, 2025",CHA @ ORL,L,20,3,3,1,0,0,0
"Feb 10, 2025",CHA @ BKN,L,27,16,5,0,2,1,2
"Feb 09, 2025",CHA @ DET,L,31,8,7,4,0,0,0
"Feb 07, 2025",CHA vs. SAS,W,18,8,5,0,0,1,1
"Feb 05, 2025",CHA vs. MIL,L,22,10,4,1,1,1,1
"Jan 17, 2025",CHA @ CHI,W,14,3,3,2,1,0,1
"Jan 15, 2025",CHA @ UTA,W,14,0,1,1,0,0,1
"Jan 12, 2025",CHA @ PHX,L,6,0,2,0,0,0,1
"Jan 07, 2025",CHA vs. PHX,W,11,4,2,0,0,0,0
"Jan 05, 2025",CHA @ CLE,L,23,6,9,1,1,0,2
"Jan 03, 2025",CHA @ DET,L,19,9,1,1,2,0,1
"Dec 30, 2024",CHA vs. CHI,L,17,3,8,2,0,0,0
"Dec 28, 2024",CHA vs. OKC,L,31,9,5,1,1,1,2
"Dec 26, 2024",CHA @ WAS,L,13,6,4,0,0,0,0
"Dec 23, 2024",CHA vs. HOU,L,19,0,3,2,1,1,2
"Dec 20, 2024",CHA @ PHI,L,24,8,8,5,2,0,1
"Dec 19, 2024",CHA @ WAS,L,16,3,4,1,0,0,0
"Dec 16, 2024",CHA vs. PHI,L,18,0,2,1,0,1,1
"Dec 13, 2024",CHA @ CHI,L,23,8,6,1,0,0,1
"Dec 05, 2024",CHA @ NYK,L,2,4,1,0,1,0,0
"Dec 03, 2024",CHA vs. PHI,L,26,10,10,0,2,0,1
"Nov 30, 2024",CHA vs. ATL,L,22,0,1,1,2,0,1
"Nov 29, 2024",CHA vs. NYK,L,35,14,8,1,0,0,1
"Nov 27, 2024",CHA vs. MIA,L,38,17,4,2,3,0,1
"Nov 25, 2024",CHA vs. ORL,L,30,1,7,1,0,0,2
"Nov 23, 2024",CHA @ MIL,L,17,6,2,1,0,0,0
"Nov 21, 2024",CHA vs. DET,W,13,7,2,0,0,0,1
"Nov 19, 2024",CHA @ BKN,L,15,11,8,1,0,2,1
"Nov 17, 2024",CHA @ CLE,L,15,0,1,1,1,1,0
"Nov 16, 2024",CHA vs. MIL,W,10,3,1,2,0,0,0
"Nov 12, 2024",CHA @ ORL,L,21,3,6,1,0,0,1
"Nov 10, 2024",CHA @ PHI,L,19,2,9,2,0,0,2
"Nov 08, 2024",CHA vs. IND,W,21,2,7,1,0,0,2
"Nov 06, 2024",CHA vs. DET,W,12,3,1,0,0,0,0
"Nov 04, 2024",CHA @ MIN,L,22,5,2,1,1,0,2
"Nov 02, 2024",CHA vs. BOS,L,16,0,1,0,0,0,0
"Nov 01, 2024",CHA vs. BOS,L,19,9,6,1,0,0,0
"Oct 30, 2024",CHA vs. TOR,W,16,3,3,3,1,0,0
"Oct 26, 2024",CHA vs. MIA,L,9,0,1,0,1,0,1
