GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 05, 2024",DET @ MEM,L,24,8,2,3,1,1,1
"Apr 03, 2024",DET @ ATL,L,31,9,6,1,1,1,0
"Apr 01, 2024",DET vs. MEM,L,35,10,5,2,1,1,1
"Mar 29, 2024",DET @ WAS,W,33,8,4,2,1,0,1
"Mar 27, 2024",DET @ MIN,L,29,3,4,0,0,0,0
"Mar 25, 2024",DET @ NYK,L,16,3,2,0,0,0,0
"Mar 24, 2024",DET vs. NOP,L,29,7,7,1,0,1,2
"Mar 22, 2024",DET vs. BOS,L,31,14,8,1,0,0,2
"Mar 20, 2024",DET vs. IND,L,30,11,4,0,0,0,0
"Mar 18, 2024",DET @ BOS,L,18,11,2,0,1,0,1
"Mar 15, 2024",DET vs. MIA,L,1,0,0,0,0,0,0
"Feb 26, 2024",DET @ NYK,L,8,2,0,0,0,0,0
"Feb 14, 2024",DET @ PHX,L,8,5,2,0,1,0,0
"Feb 08, 2024",MEM vs. CHI,L,8,0,0,0,0,1,0
"Feb 06, 2024",MEM @ NYK,L,21,4,1,2,0,0,0
"Feb 04, 2024",MEM @ BOS,L,29,3,12,3,0,0,1
"Feb 02, 2024",MEM vs. GSW,L,16,3,1,1,0,0,0
"Apr 13, 2025",BKN vs. NYK,L,20,2,4,5,1,0,1
"Apr 11, 2025",BKN @ MIN,L,22,7,3,3,3,0,1
"Apr 10, 2025",BKN vs. ATL,L,28,18,6,3,1,1,0
"Apr 08, 2025",BKN vs. NOP,W,24,13,4,2,1,1,3
"Apr 06, 2025",BKN vs. TOR,L,25,12,7,3,1,1,2
"Apr 03, 2025",BKN vs. MIN,L,30,13,8,3,1,0,1
"Mar 28, 2025",BKN vs. LAC,L,15,4,3,3,0,0,0
"Feb 26, 2025",BKN vs. OKC,L,15,9,3,0,0,0,0
"Feb 12, 2025",BKN vs. PHI,W,17,2,2,2,1,0,0
"Feb 10, 2025",BKN vs. CHA,W,26,7,6,1,3,0,1
"Feb 07, 2025",BKN vs. MIA,W,20,5,3,2,0,2,0
"Feb 05, 2025",BKN vs. WAS,L,27,15,5,1,0,1,0
"Feb 04, 2025",BKN vs. HOU,W,28,14,4,4,2,0,2
"Feb 01, 2025",BKN @ HOU,W,27,7,2,4,0,0,0
"Jan 29, 2025",BKN @ CHA,W,30,14,4,1,1,0,1
"Jan 27, 2025",BKN vs. SAC,L,29,15,8,2,2,0,5
"Jan 25, 2025",BKN vs. MIA,L,21,2,1,1,1,0,2
"Jan 22, 2025",BKN vs. PHX,L,26,6,3,2,2,0,3
"Jan 21, 2025",BKN vs. NYK,L,20,5,6,1,0,0,1
"Jan 19, 2025",BKN @ OKC,L,21,9,4,2,0,1,2
"Jan 17, 2025",BKN @ LAL,L,27,15,6,2,1,0,2
"Jan 15, 2025",BKN @ LAC,L,29,7,3,2,1,0,4
"Jan 14, 2025",BKN @ POR,W,18,10,4,1,0,0,0
"Jan 12, 2025",BKN @ UTA,L,24,22,5,1,0,0,2
"Jan 10, 2025",BKN @ DEN,L,22,10,2,1,1,1,2
"Jan 08, 2025",BKN vs. DET,L,29,13,7,1,1,0,1
"Jan 06, 2025",BKN vs. IND,L,24,8,6,1,0,1,2
"Jan 04, 2025",BKN vs. PHI,L,21,3,1,1,0,1,1
