GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 26, 2022",OKC @ DEN,L,33,15,5,3,1,1,5
"Mar 23, 2022",OKC vs. ORL,W,29,21,2,1,0,0,3
"Mar 21, 2022",OKC vs. BOS,L,36,35,7,4,0,0,3
"Mar 20, 2022",OKC @ ORL,L,32,13,5,1,2,1,1
"Mar 18, 2022",OKC @ MIA,L,28,25,8,0,0,0,1
"Mar 16, 2022",OKC @ SAS,L,29,9,7,4,1,0,4
"Mar 14, 2022",OKC vs. CHA,L,30,13,5,6,1,0,1
"Mar 13, 2022",OKC vs. MEM,L,36,15,2,5,0,1,1
"Mar 08, 2022",OKC vs. MIL,L,29,11,2,0,1,0,2
"Mar 06, 2022",OKC vs. UTA,L,25,6,4,3,0,0,0
"Mar 04, 2022",OKC vs. MIN,L,32,15,6,2,3,0,8
"Mar 02, 2022",OKC @ DEN,W,35,13,6,2,2,0,2
"Feb 28, 2022",OKC vs. SAC,L,31,11,3,4,0,0,3
"Feb 25, 2022",OKC @ IND,W,34,22,4,5,2,0,0
"Feb 24, 2022",OKC vs. PHX,L,31,11,5,6,4,0,0
"Feb 16, 2022",OKC vs. SAS,L,31,24,6,3,0,0,0
"Feb 14, 2022",OKC @ NYK,W,32,30,2,1,2,0,1
"Feb 12, 2022",OKC @ CHI,L,25,8,1,1,0,1,0
"Feb 11, 2022",OKC @ PHI,L,19,2,1,0,0,0,0
"Feb 09, 2022",OKC vs. TOR,L,18,2,4,2,0,0,2
"Feb 07, 2022",OKC vs. GSW,L,35,11,3,4,2,0,3
"Feb 05, 2022",OKC @ SAC,L,32,16,3,3,1,0,2
"Feb 04, 2022",OKC @ POR,W,32,9,3,0,1,0,0
"Feb 02, 2022",OKC @ DAL,W,41,29,0,3,1,1,2
"Jan 31, 2022",OKC vs. POR,W,24,13,2,1,2,0,2
"Jan 28, 2022",OKC vs. IND,L,26,9,1,1,3,0,3
"Jan 24, 2022",OKC vs. CHI,L,17,4,1,0,0,0,0
"Jan 22, 2022",OKC @ CLE,L,9,6,1,0,0,0,0
"Jan 21, 2022",OKC @ CHA,L,15,6,0,0,1,0,0
"Jan 19, 2022",OKC @ SAS,L,16,7,2,0,0,0,2
"Jan 17, 2022",OKC @ DAL,L,19,6,1,2,1,0,1
"Jan 15, 2022",OKC vs. CLE,L,25,5,2,2,0,0,1
"Jan 13, 2022",OKC @ BKN,W,23,7,8,4,3,1,0
