GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 12, 2024",WAS vs. CHI,L,22,19,1,1,1,1,3
"Apr 07, 2024",WAS @ TOR,L,23,11,9,4,0,3,2
"Apr 05, 2024",WAS vs. POR,L,24,17,7,2,2,1,1
"Apr 03, 2024",WAS vs. LAL,L,21,15,3,1,0,1,1
"Apr 02, 2024",WAS vs. MIL,W,31,14,7,3,1,0,1
"Mar 31, 2024",WAS vs. MIA,L,13,3,2,2,0,0,0
"Mar 29, 2024",WAS vs. DET,L,2,0,2,0,0,0,0
"Mar 27, 2024",WAS vs. BKN,L,4,0,1,0,1,1,1
"Mar 25, 2024",WAS @ CHI,W,9,6,3,0,0,0,1
"Mar 23, 2024",WAS vs. TOR,W,3,0,1,0,0,0,0
"Apr 13, 2025",WAS @ MIA,W,39,28,11,5,0,1,4
"Apr 11, 2025",WAS @ CHI,L,26,17,3,2,0,2,1
"Apr 09, 2025",WAS vs. PHI,L,24,24,6,0,0,0,4
"Apr 03, 2025",WAS vs. ORL,L,14,7,1,0,0,1,4
"Apr 02, 2025",WAS vs. SAC,W,22,17,8,3,0,1,1
"Mar 31, 2025",WAS vs. MIA,L,22,14,4,1,0,0,3
"Mar 29, 2025",WAS vs. BKN,L,24,8,6,0,0,2,0
"Mar 27, 2025",WAS vs. IND,L,15,4,2,1,0,0,4
"Mar 26, 2025",WAS @ PHI,W,23,17,6,2,1,2,1
"Mar 24, 2025",WAS vs. TOR,L,24,11,4,1,0,1,1
"Mar 22, 2025",WAS @ NYK,L,4,4,0,1,0,0,0
"Mar 21, 2025",WAS vs. ORL,L,21,17,6,3,3,1,0
"Mar 19, 2025",WAS @ UTA,L,21,17,5,0,0,2,0
"Mar 17, 2025",WAS @ POR,L,24,17,8,2,1,2,3
"Mar 10, 2025",WAS @ TOR,L,25,15,7,2,1,1,1
"Mar 05, 2025",WAS vs. UTA,W,18,8,7,1,1,2,1
"Mar 03, 2025",WAS @ MIA,L,2,3,0,0,0,0,0
"Feb 26, 2025",WAS vs. POR,L,19,8,2,1,0,1,2
"Feb 24, 2025",WAS vs. BKN,W,10,6,4,0,0,1,1
"Feb 23, 2025",WAS @ ORL,L,19,12,5,2,1,0,3
"Feb 21, 2025",WAS vs. MIL,L,3,4,1,0,0,0,1
"Feb 12, 2025",WAS vs. IND,L,2,3,2,0,0,1,0
"Feb 10, 2025",WAS vs. SAS,L,20,18,6,2,1,1,1
"Feb 08, 2025",WAS vs. ATL,L,14,8,8,1,1,0,1
"Feb 07, 2025",WAS vs. CLE,L,16,7,4,4,1,0,1
"Feb 05, 2025",WAS @ BKN,W,19,12,6,1,0,0,1
"Jan 30, 2025",WAS vs. LAL,L,12,9,3,1,0,0,2
"Jan 29, 2025",WAS vs. TOR,L,8,3,1,2,0,0,1
"Jan 27, 2025",WAS @ DAL,L,8,10,2,1,0,0,0
"Jan 23, 2025",WAS @ LAC,L,2,0,1,0,0,0,0
"Jan 21, 2025",WAS @ LAL,L,2,0,0,0,0,0,0
"Jan 19, 2025",WAS @ SAC,L,3,0,0,0,0,0,0
"Jan 01, 2025",WAS vs. CHI,W,2,2,1,0,0,0,0
"Dec 30, 2024",WAS vs. NYK,L,2,0,0,0,0,0,0
"Dec 23, 2024",WAS @ OKC,L,3,0,0,0,0,1,0
