GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",ORL @ ATL,L,37,14,7,6,0,0,1
"Apr 11, 2025",ORL @ IND,W,34,14,3,2,3,2,2
"Apr 09, 2025",ORL vs. BOS,W,12,5,3,1,0,0,0
"Mar 31, 2025",ORL vs. LAC,L,4,0,0,0,0,0,0
"Mar 29, 2025",ORL vs. SAC,W,12,3,2,2,0,0,0
"Mar 27, 2025",ORL vs. DAL,L,6,2,1,0,0,0,0
"Mar 24, 2025",ORL vs. LAL,W,7,2,1,0,1,0,1
"Mar 21, 2025",ORL @ WAS,W,20,9,5,1,0,0,0
"Mar 19, 2025",ORL vs. HOU,L,16,2,2,2,0,0,0
"Mar 16, 2025",ORL @ CLE,W,8,0,1,0,0,0,0
"Mar 14, 2025",ORL @ MIN,L,22,8,3,0,0,0,1
"Mar 13, 2025",ORL @ NOP,W,17,3,2,1,0,1,1
"Mar 10, 2025",ORL @ HOU,L,10,0,1,0,0,0,0
"Mar 08, 2025",ORL @ MIL,W,11,5,3,1,1,0,0
"Mar 06, 2025",ORL vs. CHI,L,21,6,2,3,0,0,1
"Mar 04, 2025",ORL vs. TOR,L,28,12,3,2,1,0,1
"Mar 02, 2025",ORL vs. TOR,L,6,2,2,0,0,1,0
"Feb 27, 2025",ORL vs. GSW,L,3,2,0,0,0,0,0
"Feb 25, 2025",ORL vs. CLE,L,21,0,2,1,0,1,1
"Feb 23, 2025",ORL vs. WAS,W,6,3,0,0,0,0,0
"Feb 21, 2025",ORL vs. MEM,L,17,8,2,3,0,0,0
"Feb 20, 2025",ORL @ ATL,W,18,3,1,1,0,0,0
"Feb 12, 2025",ORL vs. CHA,W,8,0,1,2,0,0,0
"Feb 10, 2025",ORL vs. ATL,L,16,9,2,0,1,1,0
"Feb 08, 2025",ORL vs. SAS,W,18,3,2,1,2,0,2
"Feb 06, 2025",ORL @ DEN,L,18,7,2,0,0,1,0
"Feb 05, 2025",ORL @ SAC,W,18,11,2,3,1,0,1
"Feb 03, 2025",ORL @ GSW,L,11,2,2,1,0,0,1
"Feb 01, 2025",ORL @ UTA,L,25,9,4,0,1,0,1
"Jan 30, 2025",ORL @ POR,L,21,0,1,1,1,1,1
"Jan 27, 2025",ORL @ MIA,L,34,17,6,5,0,1,2
"Jan 25, 2025",ORL vs. DET,W,26,5,4,0,2,1,0
"Jan 23, 2025",ORL vs. POR,L,29,16,5,2,1,0,1
"Jan 21, 2025",ORL @ TOR,L,38,9,5,4,0,1,1
"Jan 19, 2025",ORL vs. DEN,L,31,12,4,2,2,0,1
"Jan 17, 2025",ORL @ BOS,L,31,5,3,2,0,0,0
"Jan 15, 2025",ORL @ MIL,L,22,0,4,1,1,0,0
"Jan 12, 2025",ORL vs. PHI,W,1,0,0,0,1,0,1
"Jan 10, 2025",ORL vs. MIL,L,40,16,10,2,0,0,2
"Jan 09, 2025",ORL vs. MIN,L,24,6,9,2,0,0,1
"Jan 06, 2025",ORL @ NYK,W,36,8,6,2,0,0,0
"Jan 05, 2025",ORL vs. UTA,L,31,6,9,2,0,0,0
"Jan 03, 2025",ORL @ TOR,W,37,25,4,2,2,0,1
"Jan 01, 2025",ORL @ DET,L,23,0,6,3,1,0,1
"Dec 29, 2024",ORL vs. BKN,W,35,21,6,7,0,1,2
"Dec 27, 2024",ORL vs. NYK,L,28,0,2,2,0,1,4
"Dec 26, 2024",ORL vs. MIA,L,39,18,6,2,1,1,4
"Dec 23, 2024",ORL vs. BOS,W,36,18,3,0,1,0,1
"Dec 21, 2024",ORL vs. MIA,W,28,8,2,3,0,0,0
"Dec 19, 2024",ORL vs. OKC,L,37,15,3,1,1,0,2
"Dec 15, 2024",ORL vs. NYK,L,32,20,3,2,0,0,2
"Dec 10, 2024",ORL @ MIL,L,16,6,2,0,0,0,3
"Dec 08, 2024",ORL vs. PHX,W,19,8,5,0,0,1,1
"Dec 06, 2024",ORL @ PHI,L,13,0,3,0,0,0,1
"Dec 04, 2024",ORL @ PHI,W,16,5,4,1,0,0,0
"Dec 03, 2024",ORL @ NYK,L,22,8,2,0,0,0,1
"Dec 01, 2024",ORL @ BKN,W,23,4,4,3,1,0,2
"Nov 29, 2024",ORL @ BKN,W,20,13,1,1,2,0,0
"Nov 27, 2024",ORL vs. CHI,W,19,8,3,1,0,0,0
"Nov 25, 2024",ORL @ CHA,W,21,9,3,1,1,0,0
"Nov 23, 2024",ORL vs. DET,W,26,8,6,1,0,0,0
"Nov 21, 2024",ORL @ LAL,W,32,12,4,1,0,0,2
"Nov 20, 2024",ORL @ LAC,L,26,10,3,1,1,0,0
"Nov 18, 2024",ORL @ PHX,W,26,3,5,6,0,0,0
"Nov 15, 2024",ORL vs. PHI,W,18,6,3,0,1,0,0
"Nov 13, 2024",ORL vs. IND,W,21,3,9,3,0,0,0
"Nov 12, 2024",ORL vs. CHA,W,32,5,6,2,0,2,0
"Nov 10, 2024",ORL vs. WAS,W,32,11,4,2,2,0,2
"Nov 08, 2024",ORL vs. NOP,W,27,7,3,1,0,0,0
"Nov 06, 2024",ORL @ IND,L,23,5,0,3,0,0,1
"Nov 04, 2024",ORL @ OKC,L,34,9,3,2,0,0,1
"Nov 03, 2024",ORL @ DAL,L,31,7,5,2,0,1,0
"Nov 01, 2024",ORL @ CLE,L,20,17,5,2,0,0,0
"Oct 23, 2024",ORL @ MIA,W,5,0,0,0,0,0,1
