GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",MIA vs. ATL,W,33,15,5,9,1,0,1
"Apr 05, 2022",MIA vs. CHA,W,34,35,6,3,1,0,5
"Apr 03, 2022",MIA @ TOR,W,36,18,9,8,0,0,8
"Apr 02, 2022",MIA @ CHI,W,29,19,8,2,0,0,1
"Mar 30, 2022",MIA @ BOS,W,32,12,10,5,0,0,2
"Mar 28, 2022",MIA vs. SAC,W,29,20,5,6,0,0,2
"Mar 26, 2022",MIA vs. BKN,L,32,13,4,3,3,0,5
"Mar 21, 2022",MIA @ PHI,L,30,10,4,4,0,0,0
"Mar 18, 2022",MIA vs. OKC,W,28,26,7,4,0,0,1
"Mar 15, 2022",MIA vs. DET,W,34,29,5,4,0,0,1
"Mar 12, 2022",MIA vs. MIN,L,37,30,7,2,2,0,1
"Mar 11, 2022",MIA vs. CLE,W,34,22,1,2,1,0,1
"Mar 09, 2022",MIA vs. PHX,L,31,17,2,1,1,0,1
"Mar 07, 2022",MIA vs. HOU,W,31,31,2,3,1,0,3
"Mar 05, 2022",MIA vs. PHI,W,34,21,7,3,0,0,3
"Mar 03, 2022",MIA @ BKN,W,35,27,4,8,1,0,1
"Mar 02, 2022",MIA @ MIL,L,35,30,7,5,1,0,5
"Feb 28, 2022",MIA vs. CHI,W,30,20,6,5,0,0,2
"Feb 26, 2022",MIA vs. SAS,W,34,27,2,3,0,0,2
"Feb 25, 2022",MIA @ NYK,W,31,25,7,2,3,0,1
"Feb 12, 2022",MIA vs. BKN,W,23,15,6,1,0,0,2
"Feb 05, 2022",MIA @ CHA,W,29,19,4,2,3,1,3
"Feb 03, 2022",MIA @ SAS,W,32,24,5,5,2,0,1
"Feb 01, 2022",MIA @ TOR,L,29,18,3,5,0,0,3
"Jan 31, 2022",MIA @ BOS,L,29,13,2,3,0,0,1
"Jan 29, 2022",MIA vs. TOR,L,45,13,6,4,0,0,5
"Jan 28, 2022",MIA vs. LAC,W,34,11,4,4,0,1,3
"Jan 26, 2022",MIA vs. NYK,W,33,21,6,4,0,0,4
"Jan 17, 2022",MIA vs. TOR,W,34,23,4,3,2,0,1
"Jan 15, 2022",MIA vs. PHI,L,32,16,2,3,2,0,2
"Jan 14, 2022",MIA vs. ATL,W,32,24,2,3,0,0,3
"Jan 12, 2022",MIA @ ATL,W,36,21,9,11,0,1,2
"Jan 08, 2022",MIA @ PHX,W,34,33,5,3,3,1,4
"Jan 05, 2022",MIA @ POR,W,36,16,5,3,1,0,2
"Jan 03, 2022",MIA @ GSW,L,42,18,3,4,0,1,3
"Jan 02, 2022",MIA @ SAC,L,35,22,5,2,0,1,2
"Dec 31, 2021",MIA @ HOU,W,38,16,6,9,0,0,4
"Dec 28, 2021",MIA vs. WAS,W,35,32,6,3,0,0,2
"Dec 26, 2021",MIA vs. ORL,W,19,2,2,8,1,0,2
"Dec 23, 2021",MIA vs. DET,W,34,29,4,4,1,0,1
"Dec 21, 2021",MIA vs. IND,W,21,26,1,5,0,0,0
"Dec 13, 2021",MIA @ CLE,L,25,12,2,2,0,0,2
"Dec 11, 2021",MIA vs. CHI,W,33,17,6,3,0,0,3
"Dec 08, 2021",MIA vs. MIL,W,28,9,2,3,1,1,7
"Dec 06, 2021",MIA vs. MEM,L,29,24,3,4,0,0,5
"Dec 04, 2021",MIA @ MIL,L,33,15,9,6,2,0,3
"Dec 03, 2021",MIA @ IND,W,34,18,5,1,1,0,2
"Dec 01, 2021",MIA vs. CLE,L,37,21,1,6,0,0,4
"Nov 24, 2021",MIA @ MIN,L,34,16,7,2,0,1,5
"Nov 23, 2021",MIA @ DET,W,33,31,8,3,0,0,3
"Nov 20, 2021",MIA @ WAS,L,30,20,5,3,2,0,3
"Nov 17, 2021",MIA vs. NOP,W,37,19,3,5,1,0,4
"Nov 15, 2021",MIA @ OKC,W,37,26,7,6,2,0,6
"Nov 13, 2021",MIA @ UTA,W,37,27,8,2,1,0,4
"Nov 11, 2021",MIA @ LAC,L,39,23,7,3,1,0,2
"Nov 10, 2021",MIA @ LAL,L,42,27,4,3,0,0,3
"Nov 08, 2021",MIA @ DEN,L,31,11,3,5,1,0,1
"Nov 06, 2021",MIA vs. UTA,W,34,29,2,3,0,0,3
"Nov 04, 2021",MIA vs. BOS,L,29,6,7,1,1,0,1
"Nov 02, 2021",MIA @ DAL,W,35,25,3,4,0,0,0
"Oct 30, 2021",MIA @ MEM,W,32,22,6,5,0,0,3
"Oct 29, 2021",MIA vs. CHA,W,32,26,4,6,1,0,3
"Oct 27, 2021",MIA @ BKN,W,27,14,8,2,0,0,3
"Oct 25, 2021",MIA vs. ORL,W,30,13,5,9,0,0,3
"Oct 23, 2021",MIA @ IND,L,41,30,10,0,0,0,3
"Oct 21, 2021",MIA vs. MIL,W,24,27,6,5,0,0,2
"Apr 09, 2023",MIA vs. ORL,W,9,4,1,3,0,0,2
"Apr 06, 2023",MIA @ PHI,W,32,24,4,5,1,0,1
"Apr 04, 2023",MIA @ DET,W,38,18,5,2,1,0,1
"Apr 01, 2023",MIA vs. DAL,W,36,15,6,3,1,0,2
"Mar 29, 2023",MIA @ NYK,L,36,16,2,1,0,0,0
"Mar 28, 2023",MIA @ TOR,L,37,33,3,6,0,0,4
