GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 28, 2022",ORL @ CLE,L,27,15,12,6,1,0,2
"Mar 22, 2022",ORL vs. GSW,W,33,19,8,0,0,0,2
"Mar 20, 2022",ORL vs. OKC,W,31,30,16,2,2,1,5
"Mar 15, 2022",ORL vs. BKN,L,26,18,8,4,0,1,1
"Mar 13, 2022",ORL vs. PHI,L,39,23,12,2,0,3,2
"Mar 11, 2022",ORL vs. MIN,W,35,20,10,5,0,0,2
"Mar 09, 2022",ORL @ NOP,W,29,13,8,5,0,0,1
"Mar 08, 2022",ORL vs. PHX,L,32,20,12,0,0,1,1
"Mar 02, 2022",ORL vs. IND,L,41,13,18,5,1,1,6
"Feb 28, 2022",ORL vs. IND,W,28,21,12,1,0,0,3
"Feb 25, 2022",ORL vs. HOU,W,35,24,12,2,0,0,3
"Feb 16, 2022",ORL vs. ATL,L,27,10,10,6,0,1,2
"Feb 14, 2022",ORL @ DEN,L,34,25,12,4,2,1,2
"Feb 12, 2022",ORL @ PHX,L,26,14,11,2,0,0,1
"Feb 11, 2022",ORL @ UTA,L,34,22,9,2,0,1,4
"Feb 08, 2022",ORL @ POR,W,30,18,8,5,0,3,1
"Feb 06, 2022",ORL vs. BOS,L,28,14,8,2,0,1,3
"Feb 05, 2022",ORL vs. MEM,L,23,12,10,2,0,0,2
"Feb 02, 2022",ORL @ IND,W,34,19,18,2,1,1,3
"Feb 01, 2022",ORL @ CHI,L,34,24,8,6,0,0,3
"Jan 30, 2022",ORL vs. DAL,W,33,14,14,1,1,0,1
"Jan 28, 2022",ORL vs. DET,W,29,9,11,3,1,0,0
"Jan 26, 2022",ORL vs. LAC,L,31,11,9,2,0,0,3
"Jan 23, 2022",ORL vs. CHI,W,28,19,7,1,0,3,3
"Jan 21, 2022",ORL vs. LAL,L,19,19,5,1,1,1,1
"Jan 05, 2022",ORL vs. PHI,L,23,12,10,3,0,0,3
"Jan 03, 2022",ORL @ CHI,L,35,21,10,4,1,0,3
"Jan 02, 2022",ORL @ BOS,L,41,15,16,7,1,1,2
"Dec 30, 2021",ORL vs. MIL,L,33,14,10,5,1,1,1
"Dec 28, 2021",ORL vs. MIL,L,33,19,10,1,3,0,2
"Dec 26, 2021",ORL @ MIA,L,25,8,14,2,0,0,6
"Dec 23, 2021",ORL vs. NOP,L,30,17,12,3,2,3,0
"Dec 17, 2021",ORL vs. MIA,L,11,4,4,1,0,1,0
"Dec 15, 2021",ORL vs. ATL,L,30,9,15,3,1,0,1
"Dec 12, 2021",ORL @ LAL,L,33,16,8,3,0,1,2
"Dec 11, 2021",ORL @ LAC,L,33,2,14,7,0,0,3
"Dec 08, 2021",ORL @ SAC,L,36,19,10,6,0,1,4
"Dec 06, 2021",ORL @ GSW,L,30,14,12,3,1,0,1
"Dec 03, 2021",ORL @ HOU,L,33,10,16,2,0,2,2
"Dec 01, 2021",ORL vs. DEN,W,33,18,8,0,0,0,1
"Nov 29, 2021",ORL @ PHI,L,34,8,12,2,1,0,0
"Nov 27, 2021",ORL @ CLE,L,32,19,11,1,2,0,0
"Nov 26, 2021",ORL vs. CHI,L,30,26,10,2,0,2,0
"Nov 24, 2021",ORL vs. CHA,L,32,14,11,2,2,0,0
"Nov 22, 2021",ORL @ MIL,L,28,8,10,3,0,1,2
"Nov 20, 2021",ORL @ MIL,L,14,8,2,2,0,0,0
"Nov 19, 2021",ORL @ BKN,L,27,1,9,3,0,1,3
"Nov 17, 2021",ORL @ NYK,W,25,11,8,2,1,0,1
"Nov 15, 2021",ORL @ ATL,L,34,15,9,2,1,1,3
"Nov 13, 2021",ORL vs. WAS,L,32,17,7,2,3,0,2
"Nov 10, 2021",ORL vs. BKN,L,18,9,5,1,0,0,0
"Nov 07, 2021",ORL vs. UTA,W,32,22,15,6,0,1,1
"Nov 05, 2021",ORL vs. SAS,L,29,13,10,1,0,1,0
"Nov 03, 2021",ORL vs. BOS,L,35,13,13,4,2,0,4
"Nov 01, 2021",ORL @ MIN,W,36,15,14,3,0,0,2
"Oct 30, 2021",ORL @ DET,L,17,8,6,2,0,1,3
"Oct 29, 2021",ORL @ TOR,L,33,17,12,3,0,0,2
"Oct 27, 2021",ORL vs. CHA,L,33,20,10,2,1,0,1
"Oct 25, 2021",ORL @ MIA,L,28,9,9,1,0,1,2
"Oct 24, 2021",ORL @ NYK,W,31,11,9,1,1,4,2
"Oct 22, 2021",ORL vs. NYK,L,30,10,11,4,1,1,1
"Oct 20, 2021",ORL @ SAS,L,19,13,8,1,1,0,0
"Apr 09, 2023",ORL @ MIA,L,16,0,4,1,1,0,0
"Apr 04, 2023",ORL vs. CLE,L,32,17,12,3,2,0,0
"Apr 02, 2023",ORL vs. DET,W,23,14,9,1,3,1,1
"Mar 31, 2023",ORL @ WAS,W,26,11,7,3,0,1,1
"Mar 28, 2023",ORL @ MEM,L,29,14,7,2,1,2,1
"Mar 26, 2023",ORL vs. BKN,W,25,18,6,2,0,0,0
"Mar 23, 2023",ORL vs. NYK,W,31,16,8,0,0,0,0
"Mar 21, 2023",ORL vs. WAS,W,34,14,9,2,0,1,1
"Mar 19, 2023",ORL @ LAL,L,33,16,11,0,1,0,0
"Mar 18, 2023",ORL @ LAC,W,33,27,12,2,3,2,3
"Mar 16, 2023",ORL @ PHX,L,33,16,5,3,1,1,2
"Mar 14, 2023",ORL @ SAS,L,29,16,10,3,0,0,0
"Mar 11, 2023",ORL vs. MIA,W,42,27,11,2,1,0,1
"Mar 03, 2023",ORL @ CHA,W,30,12,9,2,0,0,2
